Year,Старосна доб,UNIT_MEASURE,Value
1997,13 - 14,Број,11
1997,15 - 19,Број,3128
1998,13 - 14,Број,2
1998,15 - 19,Број,3191
1999,13 - 14,Број,1
1999,15 - 19,Број,2980
2000,13 - 14,Број,4
2000,15 - 19,Број,2528
2001,13 - 14,Број,15
2001,15 - 19,Број,2617
2002,13 - 14,Број,14
2002,15 - 19,Број,2348
2003,13 - 14,Број,9
2003,15 - 19,Број,2145
2004,13 - 14,Број,12
2004,15 - 19,Број,2136
2005,13 - 14,Број,6
2005,15 - 19,Број,2007
2006,13 - 14,Број,8
2006,15 - 19,Број,2042
2007,13 - 14,Број,7
2007,15 - 19,Број,1971
2008,13 - 14,Број,13
2008,15 - 19,Број,2096
2009,13 - 14,Број,12
2009,15 - 19,Број,1968
2010,13 - 14,Број,8
2010,15 - 19,Број,1785
2011,13 - 14,Број,9
2011,15 - 19,Број,1614
2012,13 - 14,Број,5
2012,15 - 19,Број,1546
2013,13 - 14,Број,5
2013,15 - 19,Број,1382
2014,13 - 14,Број,4
2014,15 - 19,Број,1342
2015,13 - 14,Број,5
2015,15 - 19,Број,1314
2016,13 - 14,Број,4
2016,15 - 19,Број,1288
2017,13 - 14,Број,10
2017,15 - 19,Број,1064
2018,13 - 14,Број,5
2018,15 - 19,Број,897
2019,13 - 14,Број,4
2019,15 - 19,Број,845
