Year,UNIT_MEASURE,Entitet,Value
1989,Broj,BiH,15.5
1990,Broj,BiH,15.4
1991,Broj,BiH,14.9
1996,Broj,BiH,12.8
1997,Broj,BiH,12.9
1998,Broj,BiH,12.3
1999,Broj,BiH,11.4
2000,Broj,BiH,10.5
2001,Broj,BiH,9.9
2002,Broj,BiH,9.3
2003,Broj,BiH,9.2
2004,Broj,BiH,9.1
2005,Broj,BiH,9.0
2006,Broj,BiH,8.9
2007,Broj,BiH,8.8
2008,Broj,BiH,8.9
2009,Broj,BiH,9.0
2010,Broj,BiH,8.7
2011,Broj,BiH,8.3
2012,Broj,BiH,8.5
2013,Broj,BiH,8.7
2014,Broj,BiH,8.6
2015,Broj,BiH,8.5
2016,Broj,BiH,8.6
2017,Broj,BiH,8.6
2018,Broj,BiH,8.4
2019,Broj,BiH,8.1
1996,Broj,Federacija BiH,15.2
1997,Broj,Federacija BiH,14.6
1998,Broj,Federacija BiH,14.1
1999,Broj,Federacija BiH,12.3
2000,Broj,Federacija BiH,11.0
2001,Broj,Federacija BiH,10.4
2002,Broj,Federacija BiH,10.0
2003,Broj,Federacija BiH,10.0
2004,Broj,Federacija BiH,9.6
2005,Broj,Federacija BiH,9.4
2006,Broj,Federacija BiH,9.3
2007,Broj,Federacija BiH,9.3
2008,Broj,Federacija BiH,9.8
2009,Broj,Federacija BiH,9.8
2010,Broj,Federacija BiH,9.6
2011,Broj,Federacija BiH,9.1
2012,Broj,Federacija BiH,9.2
2013,Broj,Federacija BiH,8.6
2014,Broj,Federacija BiH,9.0
2015,Broj,Federacija BiH,8.8
2016,Broj,Federacija BiH,8.9
2017,Broj,Federacija BiH,9.0
2018,Broj,Federacija BiH,8.6
2019,Broj,Federacija BiH,8.2
1996,Broj,Republika Srpska,10.0
1997,Broj,Republika Srpska,11.2
1998,Broj,Republika Srpska,10.9
1999,Broj,Republika Srpska,11.7
2000,Broj,Republika Srpska,11.4
2001,Broj,Republika Srpska,10.9
2002,Broj,Republika Srpska,10.3
2003,Broj,Republika Srpska,8.8
2004,Broj,Republika Srpska,8.9
2005,Broj,Republika Srpska,8.7
2006,Broj,Republika Srpska,8.9
2007,Broj,Republika Srpska,8.6
2008,Broj,Republika Srpska,8.6
2009,Broj,Republika Srpska,9.0
2010,Broj,Republika Srpska,8.6
2011,Broj,Republika Srpska,8.1
2012,Broj,Republika Srpska,8.5
2013,Broj,Republika Srpska,8.1
2014,Broj,Republika Srpska,8.0
2015,Broj,Republika Srpska,8.1
2016,Broj,Republika Srpska,8.2
2017,Broj,Republika Srpska,8.1
2018,Broj,Republika Srpska,8.3
2019,Broj,Republika Srpska,8.1
2004,Broj,Brčko Distrikt BiH,13.1
2005,Broj,Brčko Distrikt BiH,13.0
2006,Broj,Brčko Distrikt BiH,12.1
2007,Broj,Brčko Distrikt BiH,12.9
2008,Broj,Brčko Distrikt BiH,12.0
2009,Broj,Brčko Distrikt BiH,12.3
2010,Broj,Brčko Distrikt BiH,12.1
2011,Broj,Brčko Distrikt BiH,12.0
2012,Broj,Brčko Distrikt BiH,12.7
2013,Broj,Brčko Distrikt BiH,10.7
2014,Broj,Brčko Distrikt BiH,11.0
2015,Broj,Brčko Distrikt BiH,11.2
2016,Broj,Brčko Distrikt BiH,10.6
2017,Broj,Brčko Distrikt BiH,10.8
2018,Broj,Brčko Distrikt BiH,10.4
2019,Broj,Brčko Distrikt BiH,10.8
