Year,UNIT_MEASURE,school_year,Sex,Value
2013,Number,2011/2012,Both sexes,"1,238"
2013,Number,2012/2013,Both sexes,"1,301"
2013,Number,2013/2014,Both sexes,"1,388"
2013,Number,2014/2015,Both sexes,"1,515"
2013,Number,2015/2016,Both sexes,"1,667"
2013,Number,2016/2017,Both sexes,"1,793"
2013,Number,2017/2018,Both sexes,1898
2013,Number,2018/2019,Both sexes,2131
2013,Number,2019/2020,Both sexes,2384
2013,Number,2020/2021,Both sexes,2537
2013,Number,2011/2012,M,22
2013,Number,2012/2013,M,17
2013,Number,2013/2014,M,22
2013,Number,2014/2015,M,23
2013,Number,2015/2016,M,22
2013,Number,2016/2017,M,24
2013,Number,2017/2018,M,28
2013,Number,2018/2019,M,29
2013,Number,2019/2020,M,31
2013,Number,2020/2021,M,27
2013,Number,2011/2012,F,1216
2013,Number,2012/2013,F,1284
2013,Number,2013/2014,F,1366
2013,Number,2014/2015,F,1492
2013,Number,2015/2016,F,1645
2013,Number,2016/2017,F,1769
2013,Number,2017/2018,F,1870
2013,Number,2018/2019,F,2102
2013,Number,2019/2020,F,2353
2013,Number,2020/2021,F,2510
