Year,UNIT_MEASURE,Пол,Године,Ентитет,Value
2013,Број,Оба пола или без подјеле по полу,0,Федерација БиХ,21718
2013,Број,Оба пола или без подјеле по полу,1,Федерација БиХ,22690
2013,Број,Оба пола или без подјеле по полу,2,Федерација БиХ,22691
2013,Број,Оба пола или без подјеле по полу,3,Федерација БиХ,23664
2013,Број,Оба пола или без подјеле по полу,4,Федерација БиХ,24080
2013,Број,Оба пола или без подјеле по полу,5,Федерација БиХ,23892
2013,Број,Оба пола или без подјеле по полу,6,Федерација БиХ,22901
2013,Број,Оба пола или без подјеле по полу,7,Федерација БиХ,22965
2013,Број,Оба пола или без подјеле по полу,8,Федерација БиХ,23147
2013,Број,Оба пола или без подјеле по полу,9,Федерација БиХ,23147
2013,Број,Оба пола или без подјеле по полу,10,Федерација БиХ,23884
2013,Број,Оба пола или без подјеле по полу,11,Федерација БиХ,24043
2013,Број,Оба пола или без подјеле по полу,12,Федерација БиХ,24989
2013,Број,Оба пола или без подјеле по полу,13,Федерација БиХ,25785
2013,Број,Оба пола или без подјеле по полу,14,Федерација БиХ,27352
2013,Број,Оба пола или без подјеле по полу,15,Федерација БиХ,30464
2013,Број,Оба пола или без подјеле по полу,16,Федерација БиХ,35091
2013,Број,Оба пола или без подјеле по полу,17,Федерација БиХ,35286
2013,Број,Оба пола или без подјеле по полу,18,Федерација БиХ,33903
2013,Број,Оба пола или без подјеле по полу,19,Федерација БиХ,27137
2013,Број,Оба пола или без подјеле по полу,20,Федерација БиХ,25325
2013,Број,Оба пола или без подјеле по полу,21,Федерација БиХ,29600
2013,Број,Оба пола или без подјеле по полу,22,Федерација БиХ,32119
2013,Број,Оба пола или без подјеле по полу,23,Федерација БиХ,31990
2013,Број,Оба пола или без подјеле по полу,24,Федерација БиХ,31868
2013,Број,Оба пола или без подјеле по полу,25,Федерација БиХ,32919
2013,Број,Оба пола или без подјеле по полу,26,Федерација БиХ,32539
2013,Број,Оба пола или без подјеле по полу,27,Федерација БиХ,32484
2013,Број,Оба пола или без подјеле по полу,28,Федерација БиХ,32610
2013,Број,Оба пола или без подјеле по полу,29,Федерација БиХ,33651
2013,Број,Оба пола или без подјеле по полу,30,Федерација БиХ,32390
2013,Број,Оба пола или без подјеле по полу,31,Федерација БиХ,32319
2013,Број,Оба пола или без подјеле по полу,32,Федерација БиХ,32749
2013,Број,Оба пола или без подјеле по полу,33,Федерација БиХ,31974
2013,Број,Оба пола или без подјеле по полу,34,Федерација БиХ,31556
2013,Број,Оба пола или без подјеле по полу,35,Федерација БиХ,31528
2013,Број,Оба пола или без подјеле по полу,36,Федерација БиХ,31538
2013,Број,Оба пола или без подјеле по полу,37,Федерација БиХ,32341
2013,Број,Оба пола или без подјеле по полу,38,Федерација БиХ,31321
2013,Број,Оба пола или без подјеле по полу,39,Федерација БиХ,30987
2013,Број,Оба пола или без подјеле по полу,40,Федерација БиХ,30584
2013,Број,Оба пола или без подјеле по полу,41,Федерација БиХ,31771
2013,Број,Оба пола или без подјеле по полу,42,Федерација БиХ,31017
2013,Број,Оба пола или без подјеле по полу,43,Федерација БиХ,29652
2013,Број,Оба пола или без подјеле по полу,44,Федерација БиХ,31806
2013,Број,Оба пола или без подјеле по полу,45,Федерација БиХ,32017
2013,Број,Оба пола или без подјеле по полу,46,Федерација БиХ,33018
2013,Број,Оба пола или без подјеле по полу,47,Федерација БиХ,33813
2013,Број,Оба пола или без подјеле по полу,48,Федерација БиХ,34178
2013,Број,Оба пола или без подјеле по полу,49,Федерација БиХ,34083
2013,Број,Оба пола или без подјеле по полу,50,Федерација БиХ,34340
2013,Број,Оба пола или без подјеле по полу,51,Федерација БиХ,35525
2013,Број,Оба пола или без подјеле по полу,52,Федерација БиХ,35006
2013,Број,Оба пола или без подјеле по полу,53,Федерација БиХ,34518
2013,Број,Оба пола или без подјеле по полу,54,Федерација БиХ,34607
2013,Број,Оба пола или без подјеле по полу,55,Федерација БиХ,32581
2013,Број,Оба пола или без подјеле по полу,56,Федерација БиХ,30906
2013,Број,Оба пола или без подјеле по полу,57,Федерација БиХ,31264
2013,Број,Оба пола или без подјеле по полу,58,Федерација БиХ,31461
2013,Број,Оба пола или без подјеле по полу,59,Федерација БиХ,29877
2013,Број,Оба пола или без подјеле по полу,60,Федерација БиХ,29631
2013,Број,Оба пола или без подјеле по полу,61,Федерација БиХ,26762
2013,Број,Оба пола или без подјеле по полу,62,Федерација БиХ,24438
2013,Број,Оба пола или без подјеле по полу,63,Федерација БиХ,24535
2013,Број,Оба пола или без подјеле по полу,64,Федерација БиХ,23247
2013,Број,Оба пола или без подјеле по полу,65,Федерација БиХ,20490
2013,Број,Оба пола или без подјеле по полу,66,Федерација БиХ,21656
2013,Број,Оба пола или без подјеле по полу,67,Федерација БиХ,16531
2013,Број,Оба пола или без подјеле по полу,68,Федерација БиХ,15234
2013,Број,Оба пола или без подјеле по полу,69,Федерација БиХ,14480
2013,Број,Оба пола или без подјеле по полу,70,Федерација БиХ,14562
2013,Број,Оба пола или без подјеле по полу,71,Федерација БиХ,16128
2013,Број,Оба пола или без подјеле по полу,72,Федерација БиХ,16725
2013,Број,Оба пола или без подјеле по полу,73,Федерација БиХ,17668
2013,Број,Оба пола или без подјеле по полу,74,Федерација БиХ,15940
2013,Број,Оба пола или без подјеле по полу,75,Федерација БиХ,15320
2013,Број,Оба пола или без подјеле по полу,76,Федерација БиХ,14194
2013,Број,Оба пола или без подјеле по полу,77,Федерација БиХ,13342
2013,Број,Оба пола или без подјеле по полу,78,Федерација БиХ,11991
2013,Број,Оба пола или без подјеле по полу,79,Федерација БиХ,10766
2013,Број,Оба пола или без подјеле по полу,80,Федерација БиХ,9117
2013,Број,Оба пола или без подјеле по полу,81,Федерација БиХ,8359
2013,Број,Оба пола или без подјеле по полу,82,Федерација БиХ,6844
2013,Број,Оба пола или без подјеле по полу,83,Федерација БиХ,6095
2013,Број,Оба пола или без подјеле по полу,84,Федерација БиХ,4812
2013,Број,Оба пола или без подјеле по полу,85+,Федерација БиХ,15692
2013,Број,Оба пола или без подјеле по полу,Unknown,Федерација БиХ,0
2013,Број,Оба пола или без подјеле по полу,Total,Федерација БиХ,2219220
2013,Број,Мушкарци,0,Федерација БиХ,11137
2013,Број,Мушкарци,1,Федерација БиХ,11702
2013,Број,Мушкарци,2,Федерација БиХ,11635
2013,Број,Мушкарци,3,Федерација БиХ,12190
2013,Број,Мушкарци,4,Федерација БиХ,12353
2013,Број,Мушкарци,5,Федерација БиХ,12274
2013,Број,Мушкарци,6,Федерација БиХ,11829
2013,Број,Мушкарци,7,Федерација БиХ,11750
2013,Број,Мушкарци,8,Федерација БиХ,11870
2013,Број,Мушкарци,9,Федерација БиХ,11910
2013,Број,Мушкарци,10,Федерација БиХ,12366
2013,Број,Мушкарци,11,Федерација БиХ,12362
2013,Број,Мушкарци,12,Федерација БиХ,12787
2013,Број,Мушкарци,13,Федерација БиХ,13148
2013,Број,Мушкарци,14,Федерација БиХ,13830
2013,Број,Мушкарци,15,Федерација БиХ,15585
2013,Број,Мушкарци,16,Федерација БиХ,18159
2013,Број,Мушкарци,17,Федерација БиХ,18218
2013,Број,Мушкарци,18,Федерација БиХ,17312
2013,Број,Мушкарци,19,Федерација БиХ,14024
2013,Број,Мушкарци,20,Федерација БиХ,13053
2013,Број,Мушкарци,21,Федерација БиХ,14849
2013,Број,Мушкарци,22,Федерација БиХ,16459
2013,Број,Мушкарци,23,Федерација БиХ,16474
2013,Број,Мушкарци,24,Федерација БиХ,16268
2013,Број,Мушкарци,25,Федерација БиХ,16801
2013,Број,Мушкарци,26,Федерација БиХ,16894
2013,Број,Мушкарци,27,Федерација БиХ,16638
2013,Број,Мушкарци,28,Федерација БиХ,16721
2013,Број,Мушкарци,29,Федерација БиХ,17065
2013,Број,Мушкарци,30,Федерација БиХ,16504
2013,Број,Мушкарци,31,Федерација БиХ,16570
2013,Број,Мушкарци,32,Федерација БиХ,16694
2013,Број,Мушкарци,33,Федерација БиХ,16163
2013,Број,Мушкарци,34,Федерација БиХ,16001
2013,Број,Мушкарци,35,Федерација БиХ,15902
2013,Број,Мушкарци,36,Федерација БиХ,15826
2013,Број,Мушкарци,37,Федерација БиХ,16187
2013,Број,Мушкарци,38,Федерација БиХ,15675
2013,Број,Мушкарци,39,Федерација БиХ,15349
2013,Број,Мушкарци,40,Федерација БиХ,15127
2013,Број,Мушкарци,41,Федерација БиХ,15825
2013,Број,Мушкарци,42,Федерација БиХ,15475
2013,Број,Мушкарци,43,Федерација БиХ,14747
2013,Број,Мушкарци,44,Федерација БиХ,15948
2013,Број,Мушкарци,45,Федерација БиХ,15855
2013,Број,Мушкарци,46,Федерација БиХ,16405
2013,Број,Мушкарци,47,Федерација БиХ,16673
2013,Број,Мушкарци,48,Федерација БиХ,16805
2013,Број,Мушкарци,49,Федерација БиХ,16856
2013,Број,Мушкарци,50,Федерација БиХ,16932
2013,Број,Мушкарци,51,Федерација БиХ,17349
2013,Број,Мушкарци,52,Федерација БиХ,17203
2013,Број,Мушкарци,53,Федерација БиХ,16748
2013,Број,Мушкарци,54,Федерација БиХ,17071
2013,Број,Мушкарци,55,Федерација БиХ,15630
2013,Број,Мушкарци,56,Федерација БиХ,15129
2013,Број,Мушкарци,57,Федерација БиХ,15231
2013,Број,Мушкарци,58,Федерација БиХ,15090
2013,Број,Мушкарци,59,Федерација БиХ,14488
2013,Број,Мушкарци,60,Федерација БиХ,14056
2013,Број,Мушкарци,61,Федерација БиХ,12507
2013,Број,Мушкарци,62,Федерација БиХ,11394
2013,Број,Мушкарци,63,Федерација БиХ,11285
2013,Број,Мушкарци,64,Федерација БиХ,10657
2013,Број,Мушкарци,65,Федерација БиХ,9092
2013,Број,Мушкарци,66,Федерација БиХ,9797
2013,Број,Мушкарци,67,Федерација БиХ,7429
2013,Број,Мушкарци,68,Федерација БиХ,6681
2013,Број,Мушкарци,69,Федерација БиХ,6439
