Year,Spol,Administrativna oblast,UNIT_MEASURE,Value
1996,Oba spola,BiH,Broj,653
1997,Oba spola,BiH,Broj,601
1998,Oba spola,BiH,Broj,494
1999,Oba spola,BiH,Broj,431
2000,Oba spola,BiH,Broj,383
2001,Oba spola,BiH,Broj,287
2002,Oba spola,BiH,Broj,334
2003,Oba spola,BiH,Broj,268
2004,Oba spola,BiH,Broj,253
2005,Oba spola,BiH,Broj,233
2006,Oba spola,BiH,Broj,255
2007,Oba spola,BiH,Broj,231
2008,Oba spola,BiH,Broj,235
2009,Oba spola,BiH,Broj,224
2010,Oba spola,BiH,Broj,216
2011,Oba spola,BiH,Broj,184
2012,Oba spola,BiH,Broj,177
2013,Oba spola,BiH,Broj,181
2014,Oba spola,BiH,Broj,156
2015,Oba spola,BiH,Broj,182
2016,Oba spola,BiH,Broj,178
2017,Oba spola,BiH,Broj,196
2018,Oba spola,BiH,Broj,183
2019,Oba spola,BiH,Broj,190
1996,M,BiH,Broj,360
1997,M,BiH,Broj,369
1998,M,BiH,Broj,302
1999,M,BiH,Broj,242
2000,M,BiH,Broj,220
2001,M,BiH,Broj,159
2002,M,BiH,Broj,191
2003,M,BiH,Broj,154
2004,M,BiH,Broj,151
2005,M,BiH,Broj,133
2006,M,BiH,Broj,158
2007,M,BiH,Broj,132
2008,M,BiH,Broj,131
2009,M,BiH,Broj,116
2010,M,BiH,Broj,125
2011,M,BiH,Broj,111
2012,M,BiH,Broj,111
2013,M,BiH,Broj,109
2014,M,BiH,Broj,74
2015,M,BiH,Broj,94
2016,M,BiH,Broj,111
2017,M,BiH,Broj,105
2018,M,BiH,Broj,91
2019,M,BiH,Broj,102
1996,Ž,BiH,Broj,293
1997,Ž,BiH,Broj,232
1998,Ž,BiH,Broj,192
1999,Ž,BiH,Broj,189
2000,Ž,BiH,Broj,163
2001,Ž,BiH,Broj,128
2002,Ž,BiH,Broj,143
2003,Ž,BiH,Broj,114
2004,Ž,BiH,Broj,102
