Year,UNIT_MEASURE,Пол,Административно подручје,Витална статистика,Value
1996,Број,Оба пола,BiH,Живорођени,46594
1997,Број,Оба пола,BiH,Живорођени,48397
1998,Број,Оба пола,BiH,Живорођени,45007
1999,Број,Оба пола,BiH,Живорођени,42464
2000,Број,Оба пола,BiH,Живорођени,39563
2001,Број,Оба пола,BiH,Живорођени,37717
2002,Број,Оба пола,BiH,Живорођени,35587
2003,Број,Оба пола,BiH,Живорођени,35234
2004,Број,Оба пола,BiH,Живорођени,35151
2005,Број,Оба пола,BiH,Живорођени,34627
2006,Број,Оба пола,BiH,Живорођени,34033
2007,Број,Оба пола,BiH,Живорођени,33835
2008,Број,Оба пола,BiH,Живорођени,34176
2009,Број,Оба пола,BiH,Живорођени,34550
2010,Број,Оба пола,BiH,Живорођени,33528
2011,Број,Оба пола,BiH,Живорођени,31811
2012,Број,Оба пола,BiH,Живорођени,32547
2013,Број,Оба пола,BiH,Живорођени,30684
2014,Број,Оба пола,BiH,Живорођени,30268
2015,Број,Оба пола,BiH,Живорођени,29770
2016,Број,Оба пола,BiH,Живорођени,30183
2017,Број,Оба пола,BiH,Живорођени,30200
2018,Број,Оба пола,BiH,Живорођени,29467
2019,Број,Оба пола,BiH,Живорођени,28360
1996,Број,M,BiH,Живорођени,24398
1997,Број,M,BiH,Живорођени,25297
1998,Број,M,BiH,Живорођени,23425
1999,Број,M,BiH,Живорођени,21636
2000,Број,M,BiH,Живорођени,20407
2001,Број,M,BiH,Живорођени,19400
2002,Број,M,BiH,Живорођени,18297
2003,Број,M,BiH,Живорођени,18330
2004,Број,M,BiH,Живорођени,18133
2005,Број,M,BiH,Живорођени,17797
2006,Број,M,BiH,Живорођени,17547
2007,Број,M,BiH,Живорођени,17534
2008,Број,M,BiH,Живорођени,17585
2009,Број,M,BiH,Живорођени,18001
2010,Број,M,BiH,Живорођени,17277
2011,Број,M,BiH,Живорођени,16531
2012,Број,M,BiH,Живорођени,16790
2013,Број,M,BiH,Живорођени,15835
2014,Број,M,BiH,Живорођени,15597
2015,Број,M,BiH,Живорођени,15308
2016,Број,M,BiH,Живорођени,15716
2017,Број,M,BiH,Живорођени,15674
2018,Број,M,BiH,Живорођени,15268
2019,Број,M,BiH,Живорођени,14806
1996,Број,Ж,BiH,Живорођени,22196
1997,Број,Ж,BiH,Живорођени,23100
1998,Број,Ж,BiH,Живорођени,21582
1999,Број,Ж,BiH,Живорођени,20828
2000,Број,Ж,BiH,Живорођени,19156
2001,Број,Ж,BiH,Живорођени,18317
2002,Број,Ж,BiH,Живорођени,17290
2003,Број,Ж,BiH,Живорођени,16904
2004,Број,Ж,BiH,Живорођени,17018
2005,Број,Ж,BiH,Живорођени,16830
2006,Број,Ж,BiH,Живорођени,16486
2007,Број,Ж,BiH,Живорођени,16301
2008,Број,Ж,BiH,Живорођени,16591
2009,Број,Ж,BiH,Живорођени,16549
2010,Број,Ж,BiH,Живорођени,16251
2011,Број,Ж,BiH,Живорођени,15280
2012,Број,Ж,BiH,Живорођени,15757
2013,Број,Ж,BiH,Живорођени,14849
2014,Број,Ж,BiH,Живорођени,14671
2015,Број,Ж,BiH,Живорођени,14462
2016,Број,Ж,BiH,Живорођени,14467
2017,Број,Ж,BiH,Живорођени,14526
2018,Број,Ж,BiH,Живорођени,14199
2019,Број,Ж,BiH,Живорођени,13554
1996,Број,Оба пола,BiH,Смртни случајеви,25152
1997,Број,Оба пола,BiH,Смртни случајеви,27875
1998,Број,Оба пола,BiH,Смртни случајеви,28679
1999,Број,Оба пола,BiH,Смртни случајеви,28637
2000,Број,Оба пола,BiH,Смртни случајеви,30482
2001,Број,Оба пола,BiH,Смртни случајеви,30325
2002,Број,Оба пола,BiH,Смртни случајеви,30155
2003,Број,Оба пола,BiH,Смртни случајеви,31757
2004,Број,Оба пола,BiH,Смртни случајеви,32616
2005,Број,Оба пола,BiH,Смртни случајеви,34402
2006,Број,Оба пола,BiH,Смртни случајеви,33221
2007,Број,Оба пола,BiH,Смртни случајеви,35044
2008,Број,Оба пола,BiH,Смртни случајеви,34026
2009,Број,Оба пола,BiH,Смртни случајеви,34904
2010,Број,Оба пола,BiH,Смртни случајеви,35118
2011,Број,Оба пола,BiH,Смртни случајеви,35028
2012,Број,Оба пола,BiH,Смртни случајеви,35817
2013,Број,Оба пола,BiH,Смртни случајеви,35662
2014,Број,Оба пола,BiH,Смртни случајеви,35980
2015,Број,Оба пола,BiH,Смртни случајеви,38150
2016,Број,Оба пола,BiH,Смртни случајеви,36571
2017,Број,Оба пола,BiH,Смртни случајеви,37979
2018,Број,Оба пола,BiH,Смртни случајеви,37744
2019,Број,Оба пола,BiH,Смртни случајеви,38829
1996,Број,M,BiH,Смртни случајеви,13952
1997,Број,M,BiH,Смртни случајеви,15184
1998,Број,M,BiH,Смртни случајеви,15303
1999,Број,M,BiH,Смртни случајеви,15161
2000,Број,M,BiH,Смртни случајеви,16058
2001,Број,M,BiH,Смртни случајеви,16202
2002,Број,M,BiH,Смртни случајеви,15647
2003,Број,M,BiH,Смртни случајеви,16590
2004,Број,M,BiH,Смртни случајеви,16780
2005,Број,M,BiH,Смртни случајеви,18018
2006,Број,M,BiH,Смртни случајеви,17308
2007,Број,M,BiH,Смртни случајеви,18154
2008,Број,M,BiH,Смртни случајеви,17687
2009,Број,M,BiH,Смртни случајеви,17884
2010,Број,M,BiH,Смртни случајеви,17900
2011,Број,M,BiH,Смртни случајеви,17965
2012,Број,M,BiH,Смртни случајеви,18436
2013,Број,M,BiH,Смртни случајеви,18217
2014,Број,M,BiH,Смртни случајеви,18360
2015,Број,M,BiH,Смртни случајеви,19219
2016,Број,M,BiH,Смртни случајеви,18542
2017,Број,M,BiH,Смртни случајеви,19186
2018,Број,M,BiH,Смртни случајеви,19007
2019,Број,M,BiH,Смртни случајеви,19042
1996,Број,Ж,BiH,Смртни случајеви,11200
