Year,UNIT_MEASURE,school_year,Пол,Value
2013,Број,2011/2012,Оба пола,227
2013,Број,2012/2013,Оба пола,246
2013,Број,2013/2014,Оба пола,261
2013,Број,2014/2015,Оба пола,292
2013,Број,2015/2016,Оба пола,320
2013,Број,2016/2017,Оба пола,335
2013,Број,2017/2018,Оба пола,335
2013,Број,2018/2019,Оба пола,362
2013,Број,2019/2020,Оба пола,390
2013,Број,2020/2021,Оба пола,399
2013,Број,2011/2012,public,176
2013,Број,2012/2013,public,180
2013,Број,2013/2014,public,180
2013,Број,2014/2015,public,181
2013,Број,2015/2016,public,192
2013,Број,2016/2017,public,198
2013,Број,2017/2018,public,200
2013,Број,2018/2019,public,205
2013,Број,2019/2020,public,209
2013,Број,2020/2021,public,215
2013,Број,2011/2012,private,51
2013,Број,2012/2013,private,66
2013,Број,2013/2014,private,81
2013,Број,2014/2015,private,111
2013,Број,2015/2016,private,128
2013,Број,2016/2017,private,137
2013,Број,2017/2018,private,135
2013,Број,2018/2019,private,157
2013,Број,2019/2020,private,181
2013,Број,2020/2021,private,184
