Year,UNIT_MEASURE,Ентитет,Value
1971,no_per_1000_marriages,BiH,88.2
1981,no_per_1000_marriages,BiH,93.3
1991,no_per_1000_marriages,BiH,56.3
1997,no_per_1000_marriages,BiH,79.0
1998,no_per_1000_marriages,BiH,87.7
1999,no_per_1000_marriages,BiH,88.8
2000,no_per_1000_marriages,BiH,88.1
2001,no_per_1000_marriages,BiH,104.7
2002,no_per_1000_marriages,BiH,112.9
2003,no_per_1000_marriages,BiH,92.5
2004,no_per_1000_marriages,BiH,68.4
2005,no_per_1000_marriages,BiH,81.3
2006,no_per_1000_marriages,BiH,77.2
2007,no_per_1000_marriages,BiH,77.7
2008,no_per_1000_marriages,BiH,61.8
2009,no_per_1000_marriages,BiH,68.0
2010,no_per_1000_marriages,BiH,85.8
2011,no_per_1000_marriages,BiH,120.5
2012,no_per_1000_marriages,BiH,125.8
2013,no_per_1000_marriages,BiH,148.1
2014,no_per_1000_marriages,BiH,144.1
2015,no_per_1000_marriages,BiH,150.5
2016,no_per_1000_marriages,BiH,143.9
2017,no_per_1000_marriages,BiH,151.3
2018,no_per_1000_marriages,BiH,155.2
2019,no_per_1000_marriages,BiH,147.2
1996,no_per_1000_marriages,Федерација БиХ,25.7
1997,no_per_1000_marriages,Федерација БиХ,68.4
1998,no_per_1000_marriages,Федерација БиХ,77.9
1999,no_per_1000_marriages,Федерација БиХ,84.1
2000,no_per_1000_marriages,Федерација БиХ,84.9
2001,no_per_1000_marriages,Федерација БиХ,100.8
2002,no_per_1000_marriages,Федерација БиХ,110.5
2003,no_per_1000_marriages,Федерација БиХ,89.6
2004,no_per_1000_marriages,Федерација БиХ,62.6
2005,no_per_1000_marriages,Федерација БиХ,70.9
2006,no_per_1000_marriages,Федерација БиХ,71.7
2007,no_per_1000_marriages,Федерација БиХ,69.6
2008,no_per_1000_marriages,Федерација БиХ,62.9
2009,no_per_1000_marriages,Федерација БиХ,58.9
2010,no_per_1000_marriages,Федерација БиХ,76.5
2011,no_per_1000_marriages,Федерација БиХ,97.0
2012,no_per_1000_marriages,Федерација БиХ,97.5
2013,no_per_1000_marriages,Федерација БиХ,119.8
2014,no_per_1000_marriages,Федерација БиХ,110.2
2015,no_per_1000_marriages,Федерација БиХ,115.8
2016,no_per_1000_marriages,Федерација БиХ,113.0
2017,no_per_1000_marriages,Федерација БиХ,132.8
2018,no_per_1000_marriages,Федерација БиХ,139.6
2019,no_per_1000_marriages,Федерација БиХ,136.4
1997,no_per_1000_marriages,Република Српска,95.1
1998,no_per_1000_marriages,Република Српска,102.1
1999,no_per_1000_marriages,Република Српска,93.5
2000,no_per_1000_marriages,Република Српска,92.6
2001,no_per_1000_marriages,Република Српска,115.6
2002,no_per_1000_marriages,Република Српска,117.2
2003,no_per_1000_marriages,Република Српска,109.9
2004,no_per_1000_marriages,Република Српска,89.2
2005,no_per_1000_marriages,Република Српска,105.9
2006,no_per_1000_marriages,Република Српска,76.7
2007,no_per_1000_marriages,Република Српска,84.0
2008,no_per_1000_marriages,Република Српска,49.5
2009,no_per_1000_marriages,Република Српска,74.2
2010,no_per_1000_marriages,Република Српска,89.6
2011,no_per_1000_marriages,Република Српска,152.7
2012,no_per_1000_marriages,Република Српска,164.9
2013,no_per_1000_marriages,Република Српска,192.4
2014,no_per_1000_marriages,Република Српска,189.9
2015,no_per_1000_marriages,Република Српска,193.9
2016,no_per_1000_marriages,Република Српска,184.3
2017,no_per_1000_marriages,Република Српска,165.4
2018,no_per_1000_marriages,Република Српска,161.4
2019,no_per_1000_marriages,Република Српска,158.0
2002,no_per_1000_marriages,Брчко Дистрикт БиХ,90.1
2003,no_per_1000_marriages,Брчко Дистрикт БиХ,122.1
2004,no_per_1000_marriages,Брчко Дистрикт БиХ,122.8
2005,no_per_1000_marriages,Брчко Дистрикт БиХ,127.1
2006,no_per_1000_marriages,Брчко Дистрикт БиХ,135.2
2007,no_per_1000_marriages,Брчко Дистрикт БиХ,132.0
2008,no_per_1000_marriages,Брчко Дистрикт БиХ,120.6
2009,no_per_1000_marriages,Брчко Дистрикт БиХ,207.5
2010,no_per_1000_marriages,Брчко Дистрикт БиХ,249.2
2011,no_per_1000_marriages,Брчко Дистрикт БиХ,324.6
2012,no_per_1000_marriages,Брчко Дистрикт БиХ,335.7
2013,no_per_1000_marriages,Брчко Дистрикт БиХ,307.1
2014,no_per_1000_marriages,Брчко Дистрикт БиХ,378.6
2015,no_per_1000_marriages,Брчко Дистрикт БиХ,464.2
2016,no_per_1000_marriages,Брчко Дистрикт БиХ,442.6
2017,no_per_1000_marriages,Брчко Дистрикт БиХ,410.9
2018,no_per_1000_marriages,Брчко Дистрикт БиХ,471.5
2019,no_per_1000_marriages,Брчко Дистрикт БиХ,312.2
