Year,UNIT_MEASURE,Value
1989,Број на 1.000 становника,15.5
1990,Број на 1.000 становника,15.4
1991,Број на 1.000 становника,14.9
1996,Број на 1.000 становника,12.8
1997,Број на 1.000 становника,12.9
1998,Број на 1.000 становника,12.3
1999,Број на 1.000 становника,11.4
2000,Број на 1.000 становника,10.5
2001,Број на 1.000 становника,9.9
2002,Број на 1.000 становника,9.3
2003,Број на 1.000 становника,9.2
2004,Број на 1.000 становника,9.1
2005,Број на 1.000 становника,9.0
2006,Број на 1.000 становника,8.9
2007,Број на 1.000 становника,8.8
2008,Број на 1.000 становника,8.9
2009,Број на 1.000 становника,9.0
2010,Број на 1.000 становника,8.7
2011,Број на 1.000 становника,8.3
2012,Број на 1.000 становника,8.5
2013,Број на 1.000 становника,8.7
2014,Број на 1.000 становника,8.6
2015,Број на 1.000 становника,8.5
2016,Број на 1.000 становника,8.6
2017,Број на 1.000 становника,8.6
2018,Број на 1.000 становника,8.4
2019,Број на 1.000 становника,8.1
