Year,UNIT_MEASURE,Административно подручје,Value
1996,Број дјеце по жени 15-49,BiH,1.647
1997,Број дјеце по жени 15-49,BiH,1.685
1998,Број дјеце по жени 15-49,BiH,1.558
1999,Број дјеце по жени 15-49,BiH,1.362
2000,Број дјеце по жени 15-49,BiH,1.279
2001,Број дјеце по жени 15-49,BiH,1.227
2002,Број дјеце по жени 15-49,BiH,1.228
2003,Број дјеце по жени 15-49,BiH,1.216
2004,Број дјеце по жени 15-49,BiH,1.218
2005,Број дјеце по жени 15-49,BiH,1.2
2006,Број дјеце по жени 15-49,BiH,1.177
2007,Број дјеце по жени 15-49,BiH,1.259
2008,Број дјеце по жени 15-49,BiH,1.285
2009,Број дјеце по жени 15-49,BiH,1.303
2010,Број дјеце по жени 15-49,BiH,1.267
2011,Број дјеце по жени 15-49,BiH,1.206
2012,Број дјеце по жени 15-49,BiH,1.349
2013,Број дјеце по жени 15-49,BiH,1.276
2014,Број дјеце по жени 15-49,BiH,1.259
2015,Број дјеце по жени 15-49,BiH,1.242
2016,Број дјеце по жени 15-49,BiH,1.259
2017,Број дјеце по жени 15-49,BiH,1.26
2018,Број дјеце по жени 15-49,BiH,1.253
2019,Број дјеце по жени 15-49,BiH,1.204
