Year,UNIT_MEASURE,Пол,Године,Value
2013,Број,Оба пола,_ALL,89794.0
2013,Број,Мушкарци,_ALL,12237.0
2013,Број,Жене,_ALL,77557.0
2013,Број,Оба пола, 10-14,579.0
2013,Број,Мушкарци, 10-14,318.0
2013,Број,Жене, 10-14,261.0
2013,Број,Оба пола, 15-19,763.0
2013,Број,Мушкарци, 15-19,408.0
2013,Број,Жене, 15-19,355.0
2013,Број,Оба пола, 20-24,825.0
2013,Број,Мушкарци, 20-24,419.0
2013,Број,Жене, 20-24,406.0
2013,Број,Оба пола, 25-29,1025.0
2013,Број,Мушкарци, 25-29,539.0
2013,Број,Жене, 25-29,486.0
2013,Број,Оба пола, 30-34,1082.0
2013,Број,Мушкарци, 30-34,551.0
2013,Број,Жене, 30-34,531.0
2013,Број,Оба пола, 35-39,1032.0
2013,Број,Мушкарци, 35-39,525.0
2013,Број,Жене, 35-39,507.0
2013,Број,Оба пола,40-44,1143.0
2013,Број,Мушкарци,40-44,519.0
2013,Број,Жене,40-44,624.0
2013,Број,Оба пола, 45-49,1533.0
2013,Број,Мушкарци, 45-49,632.0
2013,Број,Жене, 45-49,901.0
2013,Број,Оба пола, 50-54,2532.0
2013,Број,Мушкарци, 50-54,679.0
2013,Број,Жене, 50-54,1853.0
2013,Број,Оба пола, 55-59,4132.0
2013,Број,Мушкарци, 55-59,764.0
2013,Број,Жене, 55-59,3368.0
2013,Број,Оба пола, 60-64,6736.0
2013,Број,Мушкарци, 60-64,771.0
2013,Број,Жене, 60-64,5965.0
2013,Број,Оба пола, 65-69,9306.0
2013,Број,Мушкарци, 65-69,863.0
2013,Број,Жене, 65-69,8443.0
2013,Број,Оба пола, 70-74,16476.0
2013,Број,Мушкарци, 70-74,1311.0
2013,Број,Жене, 70-74,15165.0
2013,Број,Оба пола, 75+,42630.0
2013,Број,Мушкарци, 75+,3938.0
2013,Број,Жене, 75+,38692.0
