Year,UNIT_MEASURE,ADMIN_AREA,Value
1965,boys_to_girls,BiH,107.61
1970,boys_to_girls,BiH,107.0
1975,boys_to_girls,BiH,106.91
1980,boys_to_girls,BiH,106.81
1988,boys_to_girls,BiH,107.9
1989,boys_to_girls,BiH,105.4
1990,boys_to_girls,BiH,106.56
1991,boys_to_girls,BiH,105.61
1996,boys_to_girls,BiH,109.92
1997,boys_to_girls,BiH,109.51
1998,boys_to_girls,BiH,108.54
1999,boys_to_girls,BiH,103.88
2000,boys_to_girls,BiH,106.53
2001,boys_to_girls,BiH,105.91
2002,boys_to_girls,BiH,105.82
2003,boys_to_girls,BiH,108.44
2004,boys_to_girls,BiH,106.55
2005,boys_to_girls,BiH,105.75
2006,boys_to_girls,BiH,106.44
2007,boys_to_girls,BiH,107.56
2008,boys_to_girls,BiH,105.99
2009,boys_to_girls,BiH,108.77
2010,boys_to_girls,BiH,106.31
2011,boys_to_girls,BiH,108.19
2012,boys_to_girls,BiH,106.56
2013,boys_to_girls,BiH,106.64
2014,boys_to_girls,BiH,106.31
2015,boys_to_girls,BiH,105.85
2016,boys_to_girls,BiH,108.63
2017,boys_to_girls,BiH,107.9
2018,boys_to_girls,BiH,107.53
2019,boys_to_girls,BiH,109.24
1997,boys_to_girls,FBIH,109.9
1998,boys_to_girls,FBIH,107.98
1999,boys_to_girls,FBIH,103.79
2000,boys_to_girls,FBIH,106.55
2001,boys_to_girls,FBIH,105.79
2002,boys_to_girls,FBIH,105.42
2003,boys_to_girls,FBIH,109.0
2004,boys_to_girls,FBIH,106.52
2005,boys_to_girls,FBIH,106.01
2006,boys_to_girls,FBIH,107.81
2007,boys_to_girls,FBIH,108.36
2008,boys_to_girls,FBIH,104.83
2009,boys_to_girls,FBIH,107.6
2010,boys_to_girls,FBIH,106.84
2011,boys_to_girls,FBIH,107.83
2012,boys_to_girls,FBIH,108.1
2013,boys_to_girls,FBIH,106.53
2014,boys_to_girls,FBIH,105.05
2015,boys_to_girls,FBIH,104.33
2016,boys_to_girls,FBIH,108.19
2017,boys_to_girls,FBIH,107.0
2018,boys_to_girls,FBIH,106.39
2019,boys_to_girls,FBIH,107.66
1996,boys_to_girls,RS,108.02
1997,boys_to_girls,RS,109.04
1998,boys_to_girls,RS,109.85
1999,boys_to_girls,RS,104.05
2000,boys_to_girls,RS,106.5
2001,boys_to_girls,RS,106.12
2002,boys_to_girls,RS,106.6
2003,boys_to_girls,RS,107.14
2004,boys_to_girls,RS,107.86
2005,boys_to_girls,RS,105.62
2006,boys_to_girls,RS,103.44
2007,boys_to_girls,RS,106.03
2008,boys_to_girls,RS,106.6
2009,boys_to_girls,RS,110.96
2010,boys_to_girls,RS,104.45
2011,boys_to_girls,RS,109.99
2012,boys_to_girls,RS,104.09
2013,boys_to_girls,RS,106.6
2014,boys_to_girls,RS,107.95
2015,boys_to_girls,RS,107.24
2016,boys_to_girls,RS,109.07
2017,boys_to_girls,RS,109.72
2018,boys_to_girls,RS,109.5
2019,boys_to_girls,RS,112.37
2002,boys_to_girls,BD,129.67
2003,boys_to_girls,BD,103.09
2004,boys_to_girls,BD,91.07
2005,boys_to_girls,BD,107.43
2006,boys_to_girls,BD,111.11
2007,boys_to_girls,BD,106.78
2008,boys_to_girls,BD,129.7
2009,boys_to_girls,BD,113.5
2010,boys_to_girls,BD,114.02
2011,boys_to_girls,BD,98.03
2012,boys_to_girls,BD,99.59
2013,boys_to_girls,BD,113.33
2014,boys_to_girls,BD,118.81
2015,boys_to_girls,BD,122.97
2016,boys_to_girls,BD,116.26
2017,boys_to_girls,BD,110.8
2018,boys_to_girls,BD,108.47
2019,boys_to_girls,BD,102.93
