Year,UNIT_MEASURE,Spol,EDUCATION,Value
1991.0,Broj,Oba spola,incomplete_primary_education,
1991.0,% od ukupnog broja,Oba spola,incomplete_primary_education,
1991.0,Broj,Muškarci,incomplete_primary_education,
1991.0,% od ukupnog broja,Muškarci,incomplete_primary_education,
1991.0,Broj,Žene,incomplete_primary_education,
1991.0,% od ukupnog broja,Žene,incomplete_primary_education,
1991.0,Broj,Oba spola,primary_school,
1991.0,% od ukupnog broja,Oba spola,primary_school,
1991.0,Broj,Muškarci,primary_school,
1991.0,% od ukupnog broja,Muškarci,primary_school,
1991.0,Broj,Žene,primary_school,
1991.0,% od ukupnog broja,Žene,primary_school,
1991.0,Broj,Oba spola,secondary_school,
1991.0,% od ukupnog broja,Oba spola,secondary_school,
1991.0,Broj,Muškarci,secondary_school,
1991.0,% od ukupnog broja,Muškarci,secondary_school,
1991.0,Broj,Žene,secondary_school,
1991.0,% od ukupnog broja,Žene,secondary_school,
1991.0,Broj,Oba spola,higher_school_and_first_grade_of_faculty,
1991.0,% od ukupnog broja,Oba spola,higher_school_and_first_grade_of_faculty,
1991.0,Broj,Muškarci,higher_school_and_first_grade_of_faculty,
1991.0,% od ukupnog broja,Muškarci,higher_school_and_first_grade_of_faculty,
1991.0,Broj,Žene,higher_school_and_first_grade_of_faculty,
1991.0,% od ukupnog broja,Žene,higher_school_and_first_grade_of_faculty,
1991.0,Broj,Oba spola,advanced_schools_faculty_academy_university,
1991.0,% od ukupnog broja,Oba spola,advanced_schools_faculty_academy_university,
1991.0,Broj,Muškarci,advanced_schools_faculty_academy_university,
1991.0,% od ukupnog broja,Muškarci,advanced_schools_faculty_academy_university,
1991.0,Broj,Žene,advanced_schools_faculty_academy_university,
1991.0,% od ukupnog broja,Žene,advanced_schools_faculty_academy_university,
1991.0,Broj,Oba spola,unknown,
1991.0,% od ukupnog broja,Oba spola,unknown,
1991.0,Broj,Muškarci,unknown,
1991.0,% od ukupnog broja,Muškarci,unknown,
1991.0,Broj,Žene,unknown,
1991.0,% od ukupnog broja,Žene,unknown,
1991.0,Broj,Oba spola,no_education,
1991.0,% od ukupnog broja,Oba spola,no_education,
1991.0,Broj,Muškarci,no_education,
1991.0,% od ukupnog broja,Muškarci,no_education,
1991.0,Broj,Žene,no_education,
1991.0,% od ukupnog broja,Žene,no_education,
1991.0,Broj,Oba spola,post_secondary_school_specialisation,
1991.0,% od ukupnog broja,Oba spola,post_secondary_school_specialisation,
1991.0,Broj,Muškarci,post_secondary_school_specialisation,
1991.0,% od ukupnog broja,Muškarci,post_secondary_school_specialisation,
1991.0,Broj,Žene,post_secondary_school_specialisation,
1991.0,% od ukupnog broja,Žene,post_secondary_school_specialisation,
2013.0,Broj,Oba spola,incomplete_primary_education,
2013.0,% od ukupnog broja,Oba spola,incomplete_primary_education,
2013.0,Broj,Muškarci,incomplete_primary_education,
2013.0,% od ukupnog broja,Muškarci,incomplete_primary_education,
2013.0,Broj,Žene,incomplete_primary_education,
2013.0,% od ukupnog broja,Žene,incomplete_primary_education,
2013.0,Broj,Oba spola,primary_school,
2013.0,% od ukupnog broja,Oba spola,primary_school,
2013.0,Broj,Muškarci,primary_school,
2013.0,% od ukupnog broja,Muškarci,primary_school,
2013.0,Broj,Žene,primary_school,
2013.0,% od ukupnog broja,Žene,primary_school,
2013.0,Broj,Oba spola,secondary_school,
2013.0,% od ukupnog broja,Oba spola,secondary_school,
2013.0,Broj,Muškarci,secondary_school,
2013.0,% od ukupnog broja,Muškarci,secondary_school,
2013.0,Broj,Žene,secondary_school,
2013.0,% od ukupnog broja,Žene,secondary_school,
2013.0,Broj,Oba spola,higher_school_and_first_grade_of_faculty,
2013.0,% od ukupnog broja,Oba spola,higher_school_and_first_grade_of_faculty,
2013.0,Broj,Muškarci,higher_school_and_first_grade_of_faculty,
2013.0,% od ukupnog broja,Muškarci,higher_school_and_first_grade_of_faculty,
2013.0,Broj,Žene,higher_school_and_first_grade_of_faculty,
2013.0,% od ukupnog broja,Žene,higher_school_and_first_grade_of_faculty,
2013.0,Broj,Oba spola,advanced_schools_faculty_academy_university,
2013.0,% od ukupnog broja,Oba spola,advanced_schools_faculty_academy_university,
2013.0,Broj,Muškarci,advanced_schools_faculty_academy_university,
2013.0,% od ukupnog broja,Muškarci,advanced_schools_faculty_academy_university,
2013.0,Broj,Žene,advanced_schools_faculty_academy_university,
2013.0,% od ukupnog broja,Žene,advanced_schools_faculty_academy_university,
2013.0,Broj,Oba spola,no_education,
2013.0,% od ukupnog broja,Oba spola,no_education,
2013.0,Broj,Muškarci,no_education,
2013.0,% od ukupnog broja,Muškarci,no_education,
2013.0,Broj,Žene,no_education,
2013.0,% od ukupnog broja,Žene,no_education,
2013.0,Broj,Oba spola,post_secondary_school_specialisation,
2013.0,% od ukupnog broja,Oba spola,post_secondary_school_specialisation,
2013.0,Broj,Muškarci,post_secondary_school_specialisation,
2013.0,% od ukupnog broja,Muškarci,post_secondary_school_specialisation,
2013.0,Broj,Žene,post_secondary_school_specialisation,
2013.0,% od ukupnog broja,Žene,post_secondary_school_specialisation,
,,,,
