Year,UNIT_MEASURE,Sex,Age,Municipality,Value
2013,Number,Both sexes,Total,Banja Luka,185042
2013,Number,M,Total,Banja Luka,89148
2013,Number,F,Total,Banja Luka,95894
2013,Number,Both sexes,Total,Banovići,22773
2013,Number,M,Total,Banovići,11392
2013,Number,F,Total,Banovići,11381
2013,Number,Both sexes,Total,Berkovići,2114
2013,Number,M,Total,Berkovići,1059
2013,Number,F,Total,Berkovići,1055
2013,Number,Both sexes,Total,Bihać,56261
2013,Number,M,Total,Bihać,27041
2013,Number,F,Total,Bihać,29220
2013,Number,Both sexes,Total,Bijeljina,107715
2013,Number,M,Total,Bijeljina,52827
2013,Number,F,Total,Bijeljina,54888
2013,Number,Both sexes,Total,Bileća,10807
2013,Number,M,Total,Bileća,5454
2013,Number,F,Total,Bileća,5353
2013,Number,Both sexes,Total,Bosanska Krupa,25545
2013,Number,M,Total,Bosanska Krupa,12548
2013,Number,F,Total,Bosanska Krupa,12997
2013,Number,Both sexes,Total,Bosanski Petrovac,7328
2013,Number,M,Total,Bosanski Petrovac,3678
2013,Number,F,Total,Bosanski Petrovac,3650
2013,Number,Both sexes,Total,Bosansko Grahovo,2449
2013,Number,M,Total,Bosansko Grahovo,1287
2013,Number,F,Total,Bosansko Grahovo,1162
2013,Number,Both sexes,Total,Bratunac,20340
2013,Number,M,Total,Bratunac,10091
2013,Number,F,Total,Bratunac,10249
2013,Number,Both sexes,Total,Brčko,83516
2013,Number,M,Total,Brčko,41250
2013,Number,F,Total,Brčko,42266
2013,Number,Both sexes,Total,Breza,14168
2013,Number,M,Total,Breza,6952
2013,Number,F,Total,Breza,7216
2013,Number,Both sexes,Total,Brod,16619
2013,Number,M,Total,Brod,8143
2013,Number,F,Total,Brod,8476
2013,Number,Both sexes,Total,Bugojno,31470
2013,Number,M,Total,Bugojno,15635
2013,Number,F,Total,Bugojno,15835
2013,Number,Both sexes,Total,Busovača,17910
2013,Number,M,Total,Busovača,9134
2013,Number,F,Total,Busovača,8776
2013,Number,Both sexes,Total,Bužim,19340
2013,Number,M,Total,Bužim,9885
2013,Number,F,Total,Bužim,9455
2013,Number,Both sexes,Total,Cazin,66149
2013,Number,M,Total,Cazin,33072
2013,Number,F,Total,Cazin,33077
2013,Number,Both sexes,Total,Sarajevo - Centar,55181
2013,Number,M,Total,Sarajevo - Centar,25369
2013,Number,F,Total,Sarajevo - Centar,29812
2013,Number,Both sexes,Total,Čajniče,4895
2013,Number,M,Total,Čajniče,2474
2013,Number,F,Total,Čajniče,2421
2013,Number,Both sexes,Total,Čapljina,26157
2013,Number,M,Total,Čapljina,12947
2013,Number,F,Total,Čapljina,13210
2013,Number,Both sexes,Total,Čelić,10502
2013,Number,M,Total,Čelić,5256
2013,Number,F,Total,Čelić,5246
2013,Number,Both sexes,Total,Čelinac,15548
2013,Number,M,Total,Čelinac,7728
2013,Number,F,Total,Čelinac,7820
2013,Number,Both sexes,Total,Čitluk,18140
2013,Number,M,Total,Čitluk,8937
2013,Number,F,Total,Čitluk,9203
2013,Number,Both sexes,Total,Derventa,27404
2013,Number,M,Total,Derventa,13397
2013,Number,F,Total,Derventa,14007
2013,Number,Both sexes,Total,Doboj,71441
2013,Number,M,Total,Doboj,34916
2013,Number,F,Total,Doboj,36525
2013,Number,Both sexes,Total,Doboj-Istok,10248
2013,Number,M,Total,Doboj-Istok,5061
2013,Number,F,Total,Doboj-Istok,5187
2013,Number,Both sexes,Total,Doboj-Jug,4137
2013,Number,M,Total,Doboj-Jug,2065
2013,Number,F,Total,Doboj-Jug,2072
2013,Number,Both sexes,Total,Dobretići,1629
2013,Number,M,Total,Dobretići,905
2013,Number,F,Total,Dobretići,724
2013,Number,Both sexes,Total,Domaljevac-Šamac,4771
2013,Number,M,Total,Domaljevac-Šamac,2373
2013,Number,F,Total,Domaljevac-Šamac,2398
2013,Number,Both sexes,Total,Donji Vakuf,13985
2013,Number,M,Total,Donji Vakuf,6922
2013,Number,F,Total,Donji Vakuf,7063
2013,Number,Both sexes,Total,Donji Žabar,3809
2013,Number,M,Total,Donji Žabar,1920
2013,Number,F,Total,Donji Žabar,1889
2013,Number,Both sexes,Total,Drvar,7036
2013,Number,M,Total,Drvar,3473
2013,Number,F,Total,Drvar,3563
2013,Number,Both sexes,Total,Foča - FBiH,1933
2013,Number,M,Total,Foča - FBiH,998
2013,Number,F,Total,Foča - FBiH,935
2013,Number,Both sexes,Total,Foča - RS,18288
2013,Number,M,Total,Foča - RS,9236
2013,Number,F,Total,Foča - RS,9052
2013,Number,Both sexes,Total,Fojnica,12356
2013,Number,M,Total,Fojnica,6197
2013,Number,F,Total,Fojnica,6159
2013,Number,Both sexes,Total,Gacko,8990
2013,Number,M,Total,Gacko,4556
2013,Number,F,Total,Gacko,4434
2013,Number,Both sexes,Total,Glamoč,3860
2013,Number,M,Total,Glamoč,1963
2013,Number,F,Total,Glamoč,1897
2013,Number,Both sexes,Total,Goražde,20897
2013,Number,M,Total,Goražde,10163
2013,Number,F,Total,Goražde,10734
2013,Number,Both sexes,Total,Gornji Vakuf-Uskoplje,20933
2013,Number,M,Total,Gornji Vakuf-Uskoplje,10532
2013,Number,F,Total,Gornji Vakuf-Uskoplje,10401
2013,Number,Both sexes,Total,Gračanica,45220
2013,Number,M,Total,Gračanica,21641
2013,Number,F,Total,Gračanica,23579
2013,Number,Both sexes,Total,Gradačac,39340
2013,Number,M,Total,Gradačac,19234
2013,Number,F,Total,Gradačac,20106
2013,Number,Both sexes,Total,Gradiška,51727
2013,Number,M,Total,Gradiška,25271
2013,Number,F,Total,Gradiška,26456
2013,Number,Both sexes,Total,Grude,17308
2013,Number,M,Total,Grude,8621
2013,Number,F,Total,Grude,8687
2013,Number,Both sexes,Total,Sarajevo - Hadžići,23891
2013,Number,M,Total,Sarajevo - Hadžići,11914
2013,Number,F,Total,Sarajevo - Hadžići,11977
2013,Number,Both sexes,Total,Han Pijesak,3530
2013,Number,M,Total,Han Pijesak,1667
2013,Number,F,Total,Han Pijesak,1863
2013,Number,Both sexes,Total,Sarajevo - Ilidža,66730
2013,Number,M,Total,Sarajevo - Ilidža,32359
2013,Number,F,Total,Sarajevo - Ilidža,34371
2013,Number,Both sexes,Total,Sarajevo - Ilijaš,19603
2013,Number,M,Total,Sarajevo - Ilijaš,9381
2013,Number,F,Total,Sarajevo - Ilijaš,10222
2013,Number,Both sexes,Total,Istočna Ilidža,14763
2013,Number,M,Total,Istočna Ilidža,7069
2013,Number,F,Total,Istočna Ilidža,7694
2013,Number,Both sexes,Total,Istočni Drvar,79
2013,Number,M,Total,Istočni Drvar,53
2013,Number,F,Total,Istočni Drvar,26
2013,Number,Both sexes,Total,Istočni Mostar,257
2013,Number,M,Total,Istočni Mostar,142
2013,Number,F,Total,Istočni Mostar,115
2013,Number,Both sexes,Total,Istočni Stari Grad,1131
