Year,Пол,Административно подручје,UNIT_MEASURE,Value
1998,Оба пола,BiH,Старосна доб,66.1
1999,Оба пола,BiH,Старосна доб,66.6
2000,Оба пола,BiH,Старосна доб,66.8
2001,Оба пола,BiH,Старосна доб,67.2
2002,Оба пола,BiH,Старосна доб,67.8
2003,Оба пола,BiH,Старосна доб,68.4
2004,Оба пола,BiH,Старосна доб,68.9
2005,Оба пола,BiH,Старосна доб,69.3
2006,Оба пола,BiH,Старосна доб,69.4
2007,Оба пола,BiH,Старосна доб,69.6
2008,Оба пола,BiH,Старосна доб,70.2
2009,Оба пола,BiH,Старосна доб,70.8
2010,Оба пола,BiH,Старосна доб,71.6
2011,Оба пола,BiH,Старосна доб,72.1
2012,Оба пола,BiH,Старосна доб,72.5
2013,Оба пола,BiH,Старосна доб,72.7
2014,Оба пола,BiH,Старосна доб,73.0
2015,Оба пола,BiH,Старосна доб,73.4
2016,Оба пола,BiH,Старосна доб,73.4
2017,Оба пола,BiH,Старосна доб,73.9
2018,Оба пола,BiH,Старосна доб,74.1
2019,Оба пола,BiH,Старосна доб,74.1
1961,M,BiH,Старосна доб,31.6
1971,M,BiH,Старосна доб,48.0
1998,M,BiH,Старосна доб,63.3
1999,M,BiH,Старосна доб,64.0
2000,M,BiH,Старосна доб,64.2
2001,M,BiH,Старосна доб,64.6
2002,M,BiH,Старосна доб,65.0
2003,M,BiH,Старосна доб,65.8
2004,M,BiH,Старосна доб,66.3
2005,M,BiH,Старосна доб,66.8
2006,M,BiH,Старосна доб,66.8
2007,M,BiH,Старосна доб,66.9
2008,M,BiH,Старосна доб,67.4
2009,M,BiH,Старосна доб,68.1
2010,M,BiH,Старосна доб,68.9
2011,M,BiH,Старосна доб,69.4
2012,M,BiH,Старосна доб,69.8
2013,M,BiH,Старосна доб,70.0
2014,M,BiH,Старосна доб,70.4
2015,M,BiH,Старосна доб,70.7
2016,M,BiH,Старосна доб,70.7
2017,M,BiH,Старосна доб,71.2
2018,M,BiH,Старосна доб,71.4
2019,M,BiH,Старосна доб,71.5
1961,Ж,BiH,Старосна доб,34.5
1971,Ж,BiH,Старосна доб,51.6
1998,Ж,BiH,Старосна доб,69.2
1999,Ж,BiH,Старосна доб,69.5
2000,Ж,BiH,Старосна доб,69.7
2001,Ж,BiH,Старосна доб,70.2
2002,Ж,BiH,Старосна доб,70.7
2003,Ж,BiH,Старосна доб,71.2
2004,Ж,BiH,Старосна доб,71.7
2005,Ж,BiH,Старосна доб,72.2
2006,Ж,BiH,Старосна доб,72.2
2007,Ж,BiH,Старосна доб,72.5
2008,Ж,BiH,Старосна доб,73.3
2009,Ж,BiH,Старосна доб,73.6
2010,Ж,BiH,Старосна доб,74.5
2011,Ж,BiH,Старосна доб,75.0
2012,Ж,BiH,Старосна доб,75.3
2013,Ж,BiH,Старосна доб,75.5
2014,Ж,BiH,Старосна доб,75.8
2015,Ж,BiH,Старосна доб,76.1
2016,Ж,BiH,Старосна доб,76.2
2017,Ж,BiH,Старосна доб,76.5
2018,Ж,BiH,Старосна доб,76.8
2019,Ж,BiH,Старосна доб,76.9
