Year,UNIT_MEASURE,school_year,SEX,Value
2013,NUMBER,2011/2012,_T,17293
2013,NUMBER,2012/2013,_T,18817
2013,NUMBER,2013/2014,_T,19880
2013,NUMBER,2014/2015,_T,21490
2013,NUMBER,2015/2016,_T,22901
2013,NUMBER,2016/2017,_T,24918
2013,NUMBER,2017/2018,_T,25889
2013,NUMBER,2018/2019,_T,28511
2013,NUMBER,2019/2020,_T,30587
2013,NUMBER,2020/2021,_T,27698
2013,NUMBER,2011/2012,M,9082
2013,NUMBER,2012/2013,M,9859
2013,NUMBER,2013/2014,M,10497
2013,NUMBER,2014/2015,M,11200
2013,NUMBER,2015/2016,M,11918
2013,NUMBER,2016/2017,M,13086
2013,NUMBER,2017/2018,M,13436
2013,NUMBER,2018/2019,M,14855
2013,NUMBER,2019/2020,M,15857
2013,NUMBER,2020/2021,M,14477
2013,NUMBER,2011/2012,F,8211
2013,NUMBER,2012/2013,F,8958
2013,NUMBER,2013/2014,F,9383
2013,NUMBER,2014/2015,F,10290
2013,NUMBER,2015/2016,F,10983
2013,NUMBER,2016/2017,F,11832
2013,NUMBER,2017/2018,F,12453
2013,NUMBER,2018/2019,F,13656
2013,NUMBER,2019/2020,F,14730
2013,NUMBER,2020/2021,F,13221
