Year,SEX,Entity,UNIT_MEASURE,Value
1996,_T,BiH,NUMBER,653
1997,_T,BiH,NUMBER,601
1998,_T,BiH,NUMBER,494
1999,_T,BiH,NUMBER,431
2000,_T,BiH,NUMBER,383
2001,_T,BiH,NUMBER,287
2002,_T,BiH,NUMBER,334
2003,_T,BiH,NUMBER,268
2004,_T,BiH,NUMBER,253
2005,_T,BiH,NUMBER,233
2006,_T,BiH,NUMBER,255
2007,_T,BiH,NUMBER,231
2008,_T,BiH,NUMBER,235
2009,_T,BiH,NUMBER,224
2010,_T,BiH,NUMBER,216
2011,_T,BiH,NUMBER,184
2012,_T,BiH,NUMBER,177
2013,_T,BiH,NUMBER,181
2014,_T,BiH,NUMBER,156
2015,_T,BiH,NUMBER,182
2016,_T,BiH,NUMBER,178
2017,_T,BiH,NUMBER,196
2018,_T,BiH,NUMBER,183
2019,_T,BiH,NUMBER,190
1996,M,BiH,NUMBER,360
1997,M,BiH,NUMBER,369
1998,M,BiH,NUMBER,302
1999,M,BiH,NUMBER,242
2000,M,BiH,NUMBER,220
2001,M,BiH,NUMBER,159
2002,M,BiH,NUMBER,191
2003,M,BiH,NUMBER,154
2004,M,BiH,NUMBER,151
2005,M,BiH,NUMBER,133
2006,M,BiH,NUMBER,158
2007,M,BiH,NUMBER,132
2008,M,BiH,NUMBER,131
2009,M,BiH,NUMBER,116
2010,M,BiH,NUMBER,125
2011,M,BiH,NUMBER,111
2012,M,BiH,NUMBER,111
2013,M,BiH,NUMBER,109
2014,M,BiH,NUMBER,74
2015,M,BiH,NUMBER,94
2016,M,BiH,NUMBER,111
2017,M,BiH,NUMBER,105
2018,M,BiH,NUMBER,91
2019,M,BiH,NUMBER,102
1996,F,BiH,NUMBER,293
1997,F,BiH,NUMBER,232
1998,F,BiH,NUMBER,192
1999,F,BiH,NUMBER,189
2000,F,BiH,NUMBER,163
2001,F,BiH,NUMBER,128
2002,F,BiH,NUMBER,143
2003,F,BiH,NUMBER,114
2004,F,BiH,NUMBER,102
2005,F,BiH,NUMBER,100
2006,F,BiH,NUMBER,97
2007,F,BiH,NUMBER,99
2008,F,BiH,NUMBER,104
2009,F,BiH,NUMBER,108
2010,F,BiH,NUMBER,91
2011,F,BiH,NUMBER,73
2012,F,BiH,NUMBER,66
2013,F,BiH,NUMBER,72
2014,F,BiH,NUMBER,82
2015,F,BiH,NUMBER,88
2016,F,BiH,NUMBER,67
2017,F,BiH,NUMBER,91
2018,F,BiH,NUMBER,92
2019,F,BiH,NUMBER,88
1997,_T,FBIH,NUMBER,445
1998,_T,FBIH,NUMBER,382
1999,_T,FBIH,NUMBER,312
2000,_T,FBIH,NUMBER,280
2001,_T,FBIH,NUMBER,214
2002,_T,FBIH,NUMBER,245
2003,_T,FBIH,NUMBER,202
2004,_T,FBIH,NUMBER,190
2005,_T,FBIH,NUMBER,194
2006,_T,FBIH,NUMBER,205
2007,_T,FBIH,NUMBER,193
2008,_T,FBIH,NUMBER,194
2009,_T,FBIH,NUMBER,173
2010,_T,FBIH,NUMBER,172
2011,_T,FBIH,NUMBER,141
2012,_T,FBIH,NUMBER,139
2013,_T,FBIH,NUMBER,148
2014,_T,FBIH,NUMBER,127
2015,_T,FBIH,NUMBER,154
2016,_T,FBIH,NUMBER,147
2017,_T,FBIH,NUMBER,162
2018,_T,FBIH,NUMBER,158
2019,_T,FBIH,NUMBER,167
1997,M,FBIH,NUMBER,276
1998,M,FBIH,NUMBER,235
1999,M,FBIH,NUMBER,174
2000,M,FBIH,NUMBER,163
2001,M,FBIH,NUMBER,118
2002,M,FBIH,NUMBER,138
2003,M,FBIH,NUMBER,122
2004,M,FBIH,NUMBER,107
2005,M,FBIH,NUMBER,113
2006,M,FBIH,NUMBER,127
2007,M,FBIH,NUMBER,114
2008,M,FBIH,NUMBER,110
2009,M,FBIH,NUMBER,87
2010,M,FBIH,NUMBER,105
2011,M,FBIH,NUMBER,85
2012,M,FBIH,NUMBER,85
2013,M,FBIH,NUMBER,88
2014,M,FBIH,NUMBER,63
2015,M,FBIH,NUMBER,84
2016,M,FBIH,NUMBER,87
2017,M,FBIH,NUMBER,87
2018,M,FBIH,NUMBER,81
2019,M,FBIH,NUMBER,89
1997,F,FBIH,NUMBER,169
1998,F,FBIH,NUMBER,147
1999,F,FBIH,NUMBER,138
2000,F,FBIH,NUMBER,117
2001,F,FBIH,NUMBER,96
2002,F,FBIH,NUMBER,107
2003,F,FBIH,NUMBER,80
2004,F,FBIH,NUMBER,83
2005,F,FBIH,NUMBER,81
2006,F,FBIH,NUMBER,78
2007,F,FBIH,NUMBER,79
2008,F,FBIH,NUMBER,84
2009,F,FBIH,NUMBER,86
2010,F,FBIH,NUMBER,67
2011,F,FBIH,NUMBER,56
2012,F,FBIH,NUMBER,54
2013,F,FBIH,NUMBER,60
2014,F,FBIH,NUMBER,64
2015,F,FBIH,NUMBER,70
2016,F,FBIH,NUMBER,60
2017,F,FBIH,NUMBER,75
2018,F,FBIH,NUMBER,77
2019,F,FBIH,NUMBER,78
