Year,UNIT_MEASURE,SEX,EDUCATION,Value
1991,NUMBER,_T,incomplete_primary_education,
1991,_%,_T,incomplete_primary_education,
1991,NUMBER,M,incomplete_primary_education,
1991,_%,M,incomplete_primary_education,
1991,NUMBER,F,incomplete_primary_education,
1991,_%,F,incomplete_primary_education,
1991,NUMBER,_T,primary_school,
1991,_%,_T,primary_school,
1991,NUMBER,M,primary_school,
1991,_%,M,primary_school,
1991,NUMBER,F,primary_school,
1991,_%,F,primary_school,
1991,NUMBER,_T,secondary_school,
1991,_%,_T,secondary_school,
1991,NUMBER,M,secondary_school,
1991,_%,M,secondary_school,
1991,NUMBER,F,secondary_school,
1991,_%,F,secondary_school,
1991,NUMBER,_T,higher_school_and_first_grade_of_faculty,
1991,_%,_T,higher_school_and_first_grade_of_faculty,
1991,NUMBER,M,higher_school_and_first_grade_of_faculty,
1991,_%,M,higher_school_and_first_grade_of_faculty,
1991,NUMBER,F,higher_school_and_first_grade_of_faculty,
1991,_%,F,higher_school_and_first_grade_of_faculty,
1991,NUMBER,_T,advanced_schools_faculty_academy_university,
1991,_%,_T,advanced_schools_faculty_academy_university,
1991,NUMBER,M,advanced_schools_faculty_academy_university,
1991,_%,M,advanced_schools_faculty_academy_university,
1991,NUMBER,F,advanced_schools_faculty_academy_university,
1991,_%,F,advanced_schools_faculty_academy_university,
1991,NUMBER,_T,unknown,
1991,_%,_T,unknown,
1991,NUMBER,M,unknown,
1991,_%,M,unknown,
1991,NUMBER,F,unknown,
1991,_%,F,unknown,
1991,NUMBER,_T,no_education,
1991,_%,_T,no_education,
1991,NUMBER,M,no_education,
1991,_%,M,no_education,
1991,NUMBER,F,no_education,
1991,_%,F,no_education,
1991,NUMBER,_T,post_secondary_school_specialisation,
1991,_%,_T,post_secondary_school_specialisation,
1991,NUMBER,M,post_secondary_school_specialisation,
1991,_%,M,post_secondary_school_specialisation,
1991,NUMBER,F,post_secondary_school_specialisation,
1991,_%,F,post_secondary_school_specialisation,
2013,NUMBER,_T,incomplete_primary_education,
2013,_%,_T,incomplete_primary_education,
2013,NUMBER,M,incomplete_primary_education,
2013,_%,M,incomplete_primary_education,
2013,NUMBER,F,incomplete_primary_education,
2013,_%,F,incomplete_primary_education,
2013,NUMBER,_T,primary_school,
2013,_%,_T,primary_school,
2013,NUMBER,M,primary_school,
2013,_%,M,primary_school,
2013,NUMBER,F,primary_school,
2013,_%,F,primary_school,
2013,NUMBER,_T,secondary_school,
2013,_%,_T,secondary_school,
2013,NUMBER,M,secondary_school,
2013,_%,M,secondary_school,
2013,NUMBER,F,secondary_school,
2013,_%,F,secondary_school,
2013,NUMBER,_T,higher_school_and_first_grade_of_faculty,
2013,_%,_T,higher_school_and_first_grade_of_faculty,
2013,NUMBER,M,higher_school_and_first_grade_of_faculty,
2013,_%,M,higher_school_and_first_grade_of_faculty,
2013,NUMBER,F,higher_school_and_first_grade_of_faculty,
2013,_%,F,higher_school_and_first_grade_of_faculty,
2013,NUMBER,_T,advanced_schools_faculty_academy_university,
2013,_%,_T,advanced_schools_faculty_academy_university,
2013,NUMBER,M,advanced_schools_faculty_academy_university,
2013,_%,M,advanced_schools_faculty_academy_university,
2013,NUMBER,F,advanced_schools_faculty_academy_university,
2013,_%,F,advanced_schools_faculty_academy_university,
2013,NUMBER,_T,no_education,
2013,_%,_T,no_education,
2013,NUMBER,M,no_education,
2013,_%,M,no_education,
2013,NUMBER,F,no_education,
2013,_%,F,no_education,
2013,NUMBER,_T,post_secondary_school_specialisation,
2013,_%,_T,post_secondary_school_specialisation,
2013,NUMBER,M,post_secondary_school_specialisation,
2013,_%,M,post_secondary_school_specialisation,
2013,NUMBER,F,post_secondary_school_specialisation,
2013,_%,F,post_secondary_school_specialisation,
,,,,
