Year,UNIT_MEASURE,AGE,SEX,Value
2013,NUMBER,_ALL,_T,89794.0
2013,NUMBER,_ALL,M,12237.0
2013,NUMBER,_ALL,F,77557.0
2013,NUMBER," 10-14",_T,579
2013,NUMBER," 10-14",M,318.0
2013,NUMBER," 10-14",F,261.0
2013,NUMBER," 15-19",_T,763.0
2013,NUMBER," 15-19",M,408.0
2013,NUMBER," 15-19",F,355.0
2013,NUMBER," 20-24",_T,825
2013,NUMBER," 20-24",M,419
2013,NUMBER," 20-24",F,406
2013,NUMBER," 25-29",_T,1025
2013,NUMBER," 25-29",M,539
2013,NUMBER," 25-29",F,486
2013,NUMBER," 30-34",_T,1082
2013,NUMBER," 30-34",M,551
2013,NUMBER," 30-34",F,531
2013,NUMBER," 35-39",_T,1032
2013,NUMBER," 35-39",M,525
2013,NUMBER," 35-39",F,507
2013,NUMBER,40-44,_T,1143
2013,NUMBER,40-44,M,519
2013,NUMBER,40-44,F,624
2013,NUMBER," 45-49",_T,1533
2013,NUMBER," 45-49",M,632
2013,NUMBER," 45-49",F,901
2013,NUMBER," 50-54",_T,2532
2013,NUMBER," 50-54",M,679
2013,NUMBER," 50-54",F,1853
2013,NUMBER," 55-59",_T,4132
2013,NUMBER," 55-59",M,764
2013,NUMBER," 55-59",F,3368
2013,NUMBER," 60-64",_T,6736
2013,NUMBER," 60-64",M,771
2013,NUMBER," 60-64",F,5965
2013,NUMBER," 65-69",_T,9306
2013,NUMBER," 65-69",M,863
2013,NUMBER," 65-69",F,8443
2013,NUMBER," 70-74",_T,16476
2013,NUMBER," 70-74",M,1311
2013,NUMBER," 70-74",F,15165
2013,NUMBER," 75+",_T,42630
2013,NUMBER," 75+",M,3938
2013,NUMBER," 75+",F,38692
