Year,UNIT_MEASURE,Entity,Value
2005,NUMBER,BiH,142
2005,NUMBER,RS,142
2006,NUMBER,BiH,139
2006,NUMBER,RS,139
2007,NUMBER,BiH,362
2007,NUMBER,FBiH,178
2007,NUMBER,RS,184
2008,NUMBER,BiH,326
2008,NUMBER,FBiH,131
2008,NUMBER,RS,195
2009,NUMBER,BiH,369
2009,NUMBER,FBiH,177
2009,NUMBER,RS,192
2010,NUMBER,BiH,424
2010,NUMBER,FBiH,151
2010,NUMBER,RS,273
2011,NUMBER,BiH,299
2011,NUMBER,FBiH,123
2011,NUMBER,RS,176
2012,NUMBER,BiH,174
2012,NUMBER,FBiH,174
2013,NUMBER,BiH,99
2013,NUMBER,FBiH,99
2014,NUMBER,BiH,169
2014,NUMBER,FBiH,169
2015,NUMBER,BiH,158
2015,NUMBER,FBiH,158
2016,NUMBER,BiH,407
2016,NUMBER,FBiH,215
2016,NUMBER,RS,192
2017,NUMBER,BiH,115
2017,NUMBER,FBiH,115
