Year,health_indicators,UNIT_MEASURE,Entity,Value
1997,number_of_new_cases_of_HIV,NUMBER,BiH,5
1997,number_of_new_cases_of_HIV,NUMBER,RS,5
1997,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.42
1998,number_of_new_cases_of_HIV,NUMBER,BiH,19
1998,number_of_new_cases_of_HIV,NUMBER,RS,19
1998,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,1.59
1999,number_of_new_cases_of_HIV,NUMBER,BiH,6
1999,number_of_beds_in_hospitals,NUMBER,BiH,5.470
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,1.754
1999,number_of_general_practitioners,NUMBER,BiH,352
1999,number_of_new_cases_of_HIV,NUMBER,RS,6
1999,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.50
1999,number_of_beds_in_hospitals,NUMBER,RS,5.470
1999,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,457
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1.754
1999,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,147
1999,number_of_general_practitioners,NUMBER,RS,352
1999,number_of_population_per_general_practitioner,NUMBER,RS,3.401
2000,number_of_beds_in_hospitals,NUMBER,BiH,4.697
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,1.716
2000,number_of_general_practitioners,NUMBER,BiH,341
2000,number_of_beds_in_hospitals,NUMBER,RS,4.697
2000,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,393
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1.716
2000,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,143
2000,number_of_general_practitioners,NUMBER,RS,341
2000,number_of_population_per_general_practitioner,NUMBER,RS,3.508
2001,number_of_new_cases_of_HIV,NUMBER,BiH,5
2001,number_of_beds_in_hospitals,NUMBER,BiH,4.565
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,1.731
2001,number_of_general_practitioners,NUMBER,BiH,324
2001,number_of_new_cases_of_HIV,NUMBER,RS,5
2001,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.42
2001,number_of_beds_in_hospitals,NUMBER,RS,4.565
2001,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,382
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1.731
2001,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,145
