Year,UNIT_MEASURE,QUANTITY,Entity,Value
<<<<<<< HEAD
1997,NUMBER,total_millions,BiH,3424
1998,NUMBER,total_millions,BiH,3879
1999,NUMBER,total_millions,BiH,4399
2000,NUMBER,total_millions,BiH,4914
2001,NUMBER,total_millions,BiH,5358
2002,NUMBER,total_millions,BiH,5957
2003,NUMBER,total_millions,BiH,6291
2004,NUMBER,total_millions,BiH,6901
2005,NUMBER,total_millions,BiH,9025
2006,NUMBER,total_millions,BiH,10255
2007,NUMBER,total_millions,BiH,11529
2008,NUMBER,total_millions,BiH,13048
2009,NUMBER,total_millions,BiH,12679
2010,NUMBER,total_millions,BiH,12969
2011,NUMBER,total_millions,BiH,13412
2012,NUMBER,total_millions,BiH,13408
2013,NUMBER,total_millions,BiH,13692
2014,NUMBER,total_millions,BiH,13989
2015,NUMBER,total_millions,BiH,14618
2016,NUMBER,total_millions,BiH,15290
2017,NUMBER,total_millions,BiH,16043
2018,NUMBER,total_millions,BiH,17100
2019,NUMBER,total_millions,BiH,18047
1997,NUMBER,per_capita,BiH,912
1998,NUMBER,per_capita,BiH,1062
1999,NUMBER,per_capita,BiH,1181
2000,NUMBER,per_capita,BiH,1300
2001,NUMBER,per_capita,BiH,1411
2002,NUMBER,per_capita,BiH,1556
2003,NUMBER,per_capita,BiH,1642
2004,NUMBER,per_capita,BiH,1796
2005,NUMBER,per_capita,BiH,2548
2006,NUMBER,per_capita,BiH,2895
2007,NUMBER,per_capita,BiH,3255
2008,NUMBER,per_capita,BiH,3684
2009,NUMBER,per_capita,BiH,3581
2010,NUMBER,per_capita,BiH,3664
2011,NUMBER,per_capita,BiH,3791
2012,NUMBER,per_capita,BiH,3793
2013,NUMBER,per_capita,BiH,3878
2014,NUMBER,per_capita,BiH,3967
2015,NUMBER,per_capita,BiH,4155
2016,NUMBER,per_capita,BiH,4355
2017,NUMBER,per_capita,BiH,4578
2018,NUMBER,per_capita,BiH,4891
2019,NUMBER,per_capita,BiH,5178
=======
1997,NUMBER,total_millions,BiH,6752
1998,NUMBER,total_millions,BiH,7650
1999,NUMBER,total_millions,BiH,8604
2000,NUMBER,total_millions,BiH,9611
2001,NUMBER,total_millions,BiH,10480
2002,NUMBER,total_millions,BiH,11651
2003,NUMBER,total_millions,BiH,12303
2004,NUMBER,total_millions,BiH,13497
2005,NUMBER,total_millions,BiH,17649
2006,NUMBER,total_millions,BiH,20056
2007,NUMBER,total_millions,BiH,22548
2008,NUMBER,total_millions,BiH,25519
2009,NUMBER,total_millions,BiH,24799
2010,NUMBER,total_millions,BiH,25365
2011,NUMBER,total_millions,BiH,26231
2012,NUMBER,total_millions,BiH,26223
2013,NUMBER,total_millions,BiH,26779
2014,NUMBER,total_millions,BiH,27358
2015,NUMBER,total_millions,BiH,28589
2016,NUMBER,total_millions,BiH,29905
2017,NUMBER,total_millions,BiH,31377
2018,NUMBER,total_millions,BiH,33445
2019,NUMBER,total_millions,BiH,35295
1997,NUMBER,total_millions,FBIH,4943.00
1998,NUMBER,total_millions,FBIH,5606.00
1999,NUMBER,total_millions,FBIH,6142.00
2000,NUMBER,total_millions,FBIH,6723.00
2001,NUMBER,total_millions,FBIH,7274.00
2002,NUMBER,total_millions,FBIH,7943.00
2003,NUMBER,total_millions,FBIH,8268.00
2004,NUMBER,total_millions,FBIH,8897.00
2005,NUMBER,total_millions,FBIH,11506.00
2006,NUMBER,total_millions,FBIH,13036.00
2007,NUMBER,total_millions,FBIH,14629.00
2008,NUMBER,total_millions,FBIH,16426.00
2009,NUMBER,total_millions,FBIH,15987.00
2010,NUMBER,total_millions,FBIH,16461.00
2011,NUMBER,total_millions,FBIH,16927.00
2012,NUMBER,total_millions,FBIH,17013.00
2013,NUMBER,total_millions,FBIH,17379.00
2014,NUMBER,total_millions,FBIH,17827.00
2015,NUMBER,total_millions,FBIH,18688.00
2016,NUMBER,total_millions,FBIH,19540.00
2017,NUMBER,total_millions,FBIH,20540.00
2018,NUMBER,total_millions,FBIH,21984.00
2019,NUMBER,total_millions,FBIH,23179.00
1997,NUMBER,total_millions,RS,1809.00
1998,NUMBER,total_millions,RS,2044.00
1999,NUMBER,total_millions,RS,2462.00
2000,NUMBER,total_millions,RS,2734.00
2001,NUMBER,total_millions,RS,2993.00
2002,NUMBER,total_millions,RS,3417.00
2003,NUMBER,total_millions,RS,3717.00
2004,NUMBER,total_millions,RS,4226.00
2005,NUMBER,total_millions,RS,5695.00
