Year,UNIT_MEASURE,Entity,Value
1999,NUMBER,BiH,5470
1999,NUMBER,RS,5470
2000,NUMBER,BiH,4697
2000,NUMBER,RS,4697
2001,NUMBER,BiH,4565
2001,NUMBER,RS,4565
2002,NUMBER,BiH,3985
2002,NUMBER,RS,3985
2003,NUMBER,BiH,3881
2003,NUMBER,RS,3881
2004,NUMBER,BiH,3652
2004,NUMBER,RS,3652
2005,NUMBER,BiH,3804
2005,NUMBER,RS,3804
2006,NUMBER,BiH,
2006,NUMBER,RS,
2007,NUMBER,BiH,
2007,NUMBER,FBIH,
2007,NUMBER,RS,
2008,NUMBER,BiH,
2008,NUMBER,FBIH,
2008,NUMBER,RS,
2009,NUMBER,BiH,
2009,NUMBER,FBIH,
2009,NUMBER,RS,
2010,NUMBER,BiH,
2010,NUMBER,FBIH,
2010,NUMBER,RS,
2011,NUMBER,,
2011,NUMBER,,
2011,NUMBER,,
2012,NUMBER,,
2012,NUMBER,,
2012,NUMBER,,
2013,NUMBER,,
2013,NUMBER,,
2013,NUMBER,,
2014,NUMBER,,
2014,NUMBER,,
2014,NUMBER,,
2015,NUMBER,,
2015,NUMBER,,
2015,NUMBER,,
2016,NUMBER,,
2016,NUMBER,,
2016,NUMBER,,
2017,NUMBER,,
2017,NUMBER,,
2017,NUMBER,,
2018,NUMBER,,
2018,NUMBER,,
2018,NUMBER,,
2018,NUMBER,,
2019,NUMBER,,
2019,NUMBER,,
