Year,UNIT_MEASURE,Entity,Value
1971,NUMBER,BIH,15.4
1972,NUMBER,BIH,14.5
1973,NUMBER,BIH,13.7
1974,NUMBER,BIH,13.8
1975,NUMBER,BIH,13.4
1976,NUMBER,BIH,13.4
1977,NUMBER,BIH,12.4
1978,NUMBER,BIH,11.4
1979,NUMBER,BIH,10.9
1980,NUMBER,BIH,10.9
1981,NUMBER,BIH,10.8
1982,NUMBER,BIH,11.2
1983,NUMBER,BIH,10.6
1984,NUMBER,BIH,10.8
1985,NUMBER,BIH,10.4
1986,NUMBER,BIH,9.9
1987,NUMBER,BIH,9.7
1988,NUMBER,BIH,9.6
1989,NUMBER,BIH,8.4
1990,NUMBER,BIH,8.7
1991,NUMBER,BIH,7.8
1996,NUMBER,BIH,5.9
1997,NUMBER,BIH,5.5
1998,NUMBER,BIH,4.5
1999,NUMBER,BIH,3.7
2000,NUMBER,BIH,2.4
2001,NUMBER,BIH,1.9
2002,NUMBER,BIH,1.4
2003,NUMBER,BIH,0.9
2004,NUMBER,BIH,0.7
2005,NUMBER,BIH,0.1
2006,NUMBER,BIH,0.2
2007,NUMBER,BIH,-0.3
2008,NUMBER,BIH,0.0
2009,NUMBER,BIH,-0.1
2010,NUMBER,BIH,-0.4
2011,NUMBER,BIH,-0.8
2012,NUMBER,BIH,-0.8
2013,NUMBER,BIH,-1.4
2014,NUMBER,BIH,-1.6
2015,NUMBER,BIH,-2.3
2016,NUMBER,BIH,-1.8
2017,NUMBER,BIH,-2.2
2018,NUMBER,BIH,-2.4
2019,NUMBER,BIH,-3.0
1996,NUMBER,FBIH,8.9
1997,NUMBER,FBIH,7.7
1998,NUMBER,FBIH,6.8
1999,NUMBER,FBIH,5.2
2000,NUMBER,FBIH,3.6
2001,NUMBER,FBIH,3.1
2002,NUMBER,FBIH,2.6
2003,NUMBER,FBIH,2.1
2004,NUMBER,FBIH,1.7
2005,NUMBER,FBIH,1.1
2006,NUMBER,FBIH,1.3
2007,NUMBER,FBIH,1.0
2008,NUMBER,FBIH,1.5
2009,NUMBER,FBIH,1.2
2010,NUMBER,FBIH,0.8
2011,NUMBER,FBIH,0.4
2012,NUMBER,FBIH,0.3
2013,NUMBER,FBIH,-0.1
2014,NUMBER,FBIH,-0.2
2015,NUMBER,FBIH,-1.1
2016,NUMBER,FBIH,-0.7
2017,NUMBER,FBIH,-0.8
2018,NUMBER,FBIH,-1.2
2019,NUMBER,FBIH,-1.8
1996,NUMBER,RS,1.1
1997,NUMBER,RS,1.6
1998,NUMBER,RS,0.8
1999,NUMBER,RS,1.5
2000,NUMBER,RS,0.6
2001,NUMBER,RS,0.1
2002,NUMBER,RS,-0.5
2003,NUMBER,RS,-2.1
2004,NUMBER,RS,-2.1
2005,NUMBER,RS,-2.9
2006,NUMBER,RS,-2.3
2007,NUMBER,RS,-3.4
2008,NUMBER,RS,-2.8
2009,NUMBER,RS,-2.7
2010,NUMBER,RS,-2.9
2011,NUMBER,RS,-3.5
2012,NUMBER,RS,-3.3
2013,NUMBER,RS,-3.8
2014,NUMBER,RS,-4.3
2015,NUMBER,RS,-4.9
2016,NUMBER,RS,-3.9
2017,NUMBER,RS,-4.6
2018,NUMBER,RS,-4.6
2019,NUMBER,RS,-5.1
2004,NUMBER,BD,2.6
2005,NUMBER,BD,2.0
2006,NUMBER,BD,2.3
2007,NUMBER,BD,2.1
2008,NUMBER,BD,0.2
2009,NUMBER,BD,0.3
2010,NUMBER,BD,0.1
2011,NUMBER,BD,-0.6
2012,NUMBER,BD,0.5
2013,NUMBER,BD,-0.5
2014,NUMBER,BD,-1.0
2015,NUMBER,BD,-2.2
2016,NUMBER,BD,-1.3
2017,NUMBER,BD,-2.4
2018,NUMBER,BD,-2.1
2019,NUMBER,BD,-2.8
