Year,UNIT_MEASURE,Sex,Entity,Value
2004,%,Both sexes,BiH,37.8
2007,%,Both sexes,BiH,38.3
2011,%,Both sexes,BiH,39.7
2013,%,Both sexes,BiH,39.5
2015,%,Both sexes,BiH,41.9
2004,%,Both sexes,FBIH,36.4
2007,%,Both sexes,FBIH,37.0
2011,%,Both sexes,FBIH,38.5
2013,%,Both sexes,FBIH,38.5
2015,%,Both sexes,FBIH,40.7
2004,%,Both sexes,RS,40.1
2007,%,Both sexes,RS,40.8
2011,%,Both sexes,RS,42.0
2013,%,Both sexes,RS,41.4
2015,%,Both sexes,RS,44.4
2004,%,Both sexes,BD,38.3
2007,%,Both sexes,BD,39.5
2011,%,Both sexes,BD,40.4
2013,%,Both sexes,BD,39.7
2015,%,Both sexes,BD,40.8
2004,%,M,BiH,36.8
2007,%,M,BiH,37.2
2011,%,M,BiH,38.6
2013,%,M,BiH,38.2
2015,%,M,BiH,40.5
2004,%,M,FBIH,35.6
2007,%,M,FBIH,35.8
2011,%,M,FBIH,37.6
2013,%,M,FBIH,37.2
2015,%,M,FBIH,39.2
2004,%,M,RS,39.0
2007,%,M,RS,39.6
2011,%,M,RS,40.5
2013,%,M,RS,40.0
2015,%,M,RS,43.0
2004,%,M,BD,37.2
2007,%,M,BD,38.7
2011,%,M,BD,39.2
2013,%,M,BD,38.4
2015,%,M,BD,39.8
2004,%,F,BiH,38.7
2007,%,F,BiH,39.4
2011,%,F,BiH,40.8
2013,%,F,BiH,40.7
2015,%,F,BiH,43.3
2004,%,F,FBIH,37.2
2007,%,F,FBIH,38.1
2011,%,F,FBIH,39.4
2013,%,F,FBIH,39.7
2015,%,F,FBIH,42.2
2004,%,F,RS,41.1
2007,%,F,RS,42.0
2011,%,F,RS,43.6
2013,%,F,RS,42.7
2015,%,F,RS,45.7
2004,%,F,BD,39.3
2007,%,F,BD,40.2
2011,%,F,BD,41.7
2013,%,F,BD,40.9
2015,%,F,BD,41.7
