Year,UNIT_MEASURE,Administrative area,Value
2005,Number,BiH,421
2005,Number,Republika Srpska,421
2006,Number,BiH,409
2006,Number,Republika Srpska,409
2007,Number,BiH,797
2007,Number,FBiH,797
2008,Number,BiH,1235
2008,Number,FBiH,818
2008,Number,Republika Srpska,417
2009,Number,BiH,1226
2009,Number,FBiH,820
2009,Number,Republika Srpska,406
2010,Number,BiH,1226
2010,Number,FBiH,831
2010,Number,Republika Srpska,395
2011,Number,BiH,1224
2011,Number,FBiH,834
2011,Number,Republika Srpska,390
2012,Number,BiH,1244
2012,Number,FBiH,847
2012,Number,Republika Srpska,397
2013,Number,BiH,1132
2013,Number,FBiH,755
2013,Number,Republika Srpska,377
2014,Number,BiH,1116
2014,Number,FBiH,737
2014,Number,Republika Srpska,379
2015,Number,BiH,1088
2015,Number,FBiH,717
2015,Number,Republika Srpska,371
2016,Number,BiH,1075
2016,Number,FBiH,704
2016,Number,Republika Srpska,371
2017,Number,BiH,1050
2017,Number,FBiH,687
2017,Number,Republika Srpska,363
2018,Number,BiH,1063
2018,Number,FBiH,689
2018,Number,Republika Srpska,371
2019,Number,BiH,701
2019,Number,FBiH,701
2018,Number,Brčko District of BiH,3
