Year,UNIT_MEASURE,Administrative area,Value
1989,Number per 1000 population,BiH,15.5
1990,Number per 1000 population,BiH,15.4
1991,Number per 1000 population,BiH,14.9
1996,Number per 1000 population,BiH,12.8
1997,Number per 1000 population,BiH,12.9
1998,Number per 1000 population,BiH,12.3
1999,Number per 1000 population,BiH,11.4
2000,Number per 1000 population,BiH,10.5
2001,Number per 1000 population,BiH,9.9
2002,Number per 1000 population,BiH,9.3
2003,Number per 1000 population,BiH,9.2
2004,Number per 1000 population,BiH,9.1
2005,Number per 1000 population,BiH,9.0
2006,Number per 1000 population,BiH,8.9
2007,Number per 1000 population,BiH,8.8
2008,Number per 1000 population,BiH,8.9
2009,Number per 1000 population,BiH,9.0
2010,Number per 1000 population,BiH,8.7
2011,Number per 1000 population,BiH,8.3
2012,Number per 1000 population,BiH,8.5
2013,Number per 1000 population,BiH,8.7
2014,Number per 1000 population,BiH,8.6
2015,Number per 1000 population,BiH,8.5
2016,Number per 1000 population,BiH,8.6
2017,Number per 1000 population,BiH,8.6
2018,Number per 1000 population,BiH,8.4
2019,Number per 1000 population,BiH,8.1
1996,Number per 1000 population,Federation of BiH,15.2
1997,Number per 1000 population,Federation of BiH,14.6
1998,Number per 1000 population,Federation of BiH,14.1
1999,Number per 1000 population,Federation of BiH,12.3
2000,Number per 1000 population,Federation of BiH,11.0
2001,Number per 1000 population,Federation of BiH,10.4
2002,Number per 1000 population,Federation of BiH,10.0
2003,Number per 1000 population,Federation of BiH,10.0
2004,Number per 1000 population,Federation of BiH,9.6
2005,Number per 1000 population,Federation of BiH,9.4
2006,Number per 1000 population,Federation of BiH,9.3
2007,Number per 1000 population,Federation of BiH,9.3
2008,Number per 1000 population,Federation of BiH,9.8
2009,Number per 1000 population,Federation of BiH,9.8
2010,Number per 1000 population,Federation of BiH,9.6
2011,Number per 1000 population,Federation of BiH,9.1
2012,Number per 1000 population,Federation of BiH,9.2
2013,Number per 1000 population,Federation of BiH,8.6
2014,Number per 1000 population,Federation of BiH,9.0
2015,Number per 1000 population,Federation of BiH,8.8
2016,Number per 1000 population,Federation of BiH,8.9
2017,Number per 1000 population,Federation of BiH,9.0
2018,Number per 1000 population,Federation of BiH,8.6
2019,Number per 1000 population,Federation of BiH,8.2
1996,Number per 1000 population,Republika Srpska,10.0
1997,Number per 1000 population,Republika Srpska,11.2
1998,Number per 1000 population,Republika Srpska,10.9
1999,Number per 1000 population,Republika Srpska,11.7
2000,Number per 1000 population,Republika Srpska,11.4
2001,Number per 1000 population,Republika Srpska,10.9
2002,Number per 1000 population,Republika Srpska,10.3
2003,Number per 1000 population,Republika Srpska,8.8
2004,Number per 1000 population,Republika Srpska,8.9
2005,Number per 1000 population,Republika Srpska,8.7
2006,Number per 1000 population,Republika Srpska,8.9
2007,Number per 1000 population,Republika Srpska,8.6
2008,Number per 1000 population,Republika Srpska,8.6
2009,Number per 1000 population,Republika Srpska,9.0
2010,Number per 1000 population,Republika Srpska,8.6
2011,Number per 1000 population,Republika Srpska,8.1
2012,Number per 1000 population,Republika Srpska,8.5
2013,Number per 1000 population,Republika Srpska,8.1
2014,Number per 1000 population,Republika Srpska,8.0
2015,Number per 1000 population,Republika Srpska,8.1
2016,Number per 1000 population,Republika Srpska,8.2
2017,Number per 1000 population,Republika Srpska,8.1
2018,Number per 1000 population,Republika Srpska,8.3
2019,Number per 1000 population,Republika Srpska,8.1
2004,Number per 1000 population,Brčko District of BiH,13.1
2005,Number per 1000 population,Brčko District of BiH,13.0
2006,Number per 1000 population,Brčko District of BiH,12.1
2007,Number per 1000 population,Brčko District of BiH,12.9
2008,Number per 1000 population,Brčko District of BiH,12.0
2009,Number per 1000 population,Brčko District of BiH,12.3
2010,Number per 1000 population,Brčko District of BiH,12.1
2011,Number per 1000 population,Brčko District of BiH,12.0
2012,Number per 1000 population,Brčko District of BiH,12.7
2013,Number per 1000 population,Brčko District of BiH,10.7
2014,Number per 1000 population,Brčko District of BiH,11.0
2015,Number per 1000 population,Brčko District of BiH,11.2
2016,Number per 1000 population,Brčko District of BiH,10.6
2017,Number per 1000 population,Brčko District of BiH,10.8
2018,Number per 1000 population,Brčko District of BiH,10.4
2019,Number per 1000 population,Brčko District of BiH,10.8
