Year,UNIT_MEASURE,Administrative area,Value
1971,Number per 1000 population,BiH,6.6
1972,Number per 1000 population,BiH,7.0
1973,Number per 1000 population,BiH,6.4
1974,Number per 1000 population,BiH,6.0
1975,Number per 1000 population,BiH,6.4
1976,Number per 1000 population,BiH,6.2
1977,Number per 1000 population,BiH,6.1
1978,Number per 1000 population,BiH,6.3
1979,Number per 1000 population,BiH,6.1
1980,Number per 1000 population,BiH,6.4
1981,Number per 1000 population,BiH,6.3
1982,Number per 1000 population,BiH,6.4
1983,Number per 1000 population,BiH,7.2
1984,Number per 1000 population,BiH,6.9
1985,Number per 1000 population,BiH,6.9
1986,Number per 1000 population,BiH,6.9
1987,Number per 1000 population,BiH,6.9
1988,Number per 1000 population,BiH,6.9
1989,Number per 1000 population,BiH,7.0
1990,Number per 1000 population,BiH,6.7
1991,Number per 1000 population,BiH,7.2
1996,Number per 1000 population,BiH,6.9
1997,Number per 1000 population,BiH,7.5
1998,Number per 1000 population,BiH,7.9
1999,Number per 1000 population,BiH,7.7
2000,Number per 1000 population,BiH,8.1
2001,Number per 1000 population,BiH,8.0
2002,Number per 1000 population,BiH,7.9
2003,Number per 1000 population,BiH,8.3
2004,Number per 1000 population,BiH,8.5
2005,Number per 1000 population,BiH,9.0
2006,Number per 1000 population,BiH,8.6
2007,Number per 1000 population,BiH,9.1
2008,Number per 1000 population,BiH,8.9
2009,Number per 1000 population,BiH,9.1
2010,Number per 1000 population,BiH,9.1
2011,Number per 1000 population,BiH,9.1
2012,Number per 1000 population,BiH,9.3
2013,Number per 1000 population,BiH,10.1
2014,Number per 1000 population,BiH,10.2
2015,Number per 1000 population,BiH,10.8
2016,Number per 1000 population,BiH,10.4
2017,Number per 1000 population,BiH,10.8
2018,Number per 1000 population,BiH,10.8
2019,Number per 1000 population,BiH,11.1
1996,Number per 1000 population,Federation of BiH,6.3
1997,Number per 1000 population,Federation of BiH,6.9
1998,Number per 1000 population,Federation of BiH,7.3
1999,Number per 1000 population,Federation of BiH,7.1
2000,Number per 1000 population,Federation of BiH,7.4
2001,Number per 1000 population,Federation of BiH,7.3
2002,Number per 1000 population,Federation of BiH,7.4
2003,Number per 1000 population,Federation of BiH,7.9
2004,Number per 1000 population,Federation of BiH,7.9
2005,Number per 1000 population,Federation of BiH,8.3
2006,Number per 1000 population,Federation of BiH,8.0
2007,Number per 1000 population,Federation of BiH,8.7
2008,Number per 1000 population,Federation of BiH,8.3
2009,Number per 1000 population,Federation of BiH,8.3
2010,Number per 1000 population,Federation of BiH,8.6
2011,Number per 1000 population,Federation of BiH,8.8
2012,Number per 1000 population,Federation of BiH,8.7
2013,Number per 1000 population,Federation of BiH,8.9
2014,Number per 1000 population,Federation of BiH,8.7
2015,Number per 1000 population,Federation of BiH,9.8
2016,Number per 1000 population,Federation of BiH,9.6
2017,Number per 1000 population,Federation of BiH,9.9
2018,Number per 1000 population,Federation of BiH,9.8
2019,Number per 1000 population,Federation of BiH,10.1
1996,Number per 1000 population,Republika Srpska,8.9
1997,Number per 1000 population,Republika Srpska,9.6
1998,Number per 1000 population,Republika Srpska,10.1
1999,Number per 1000 population,Republika Srpska,10.2
2000,Number per 1000 population,Republika Srpska,10.8
2001,Number per 1000 population,Republika Srpska,10.8
2002,Number per 1000 population,Republika Srpska,10.9
2003,Number per 1000 population,Republika Srpska,10.9
2004,Number per 1000 population,Republika Srpska,11.0
2005,Number per 1000 population,Republika Srpska,11.6
2006,Number per 1000 population,Republika Srpska,11.2
2007,Number per 1000 population,Republika Srpska,12.0
2008,Number per 1000 population,Republika Srpska,11.4
2009,Number per 1000 population,Republika Srpska,11.7
2010,Number per 1000 population,Republika Srpska,11.5
2011,Number per 1000 population,Republika Srpska,11.6
2012,Number per 1000 population,Republika Srpska,11.8
2013,Number per 1000 population,Republika Srpska,11.9
2014,Number per 1000 population,Republika Srpska,12.3
2015,Number per 1000 population,Republika Srpska,13.0
2016,Number per 1000 population,Republika Srpska,12.1
2017,Number per 1000 population,Republika Srpska,12.7
2018,Number per 1000 population,Republika Srpska,12.9
2019,Number per 1000 population,Republika Srpska,13.2
2004,Number per 1000 population,Brčko District of BiH,10.5
2005,Number per 1000 population,Brčko District of BiH,11.0
2006,Number per 1000 population,Brčko District of BiH,9.8
2007,Number per 1000 population,Brčko District of BiH,10.8
2008,Number per 1000 population,Brčko District of BiH,11.8
2009,Number per 1000 population,Brčko District of BiH,12.1
2010,Number per 1000 population,Brčko District of BiH,12.0
2011,Number per 1000 population,Brčko District of BiH,12.6
2012,Number per 1000 population,Brčko District of BiH,12.2
2013,Number per 1000 population,Brčko District of BiH,11.2
2014,Number per 1000 population,Brčko District of BiH,12.0
2015,Number per 1000 population,Brčko District of BiH,13.4
2016,Number per 1000 population,Brčko District of BiH,11.9
2017,Number per 1000 population,Brčko District of BiH,13.2
2018,Number per 1000 population,Brčko District of BiH,12.4
2019,Number per 1000 population,Brčko District of BiH,13.6
