Year,UNIT_MEASURE,SEX,ADMIN_AREA,Value
2001,NUMBER,M,BiH,98.0
2002,NUMBER,M,BiH,77.0
2003,NUMBER,M,BiH,91.0
2004,NUMBER,M,BiH,94.0
2005,NUMBER,M,BiH,85.0
2006,NUMBER,M,BiH,83.0
2007,NUMBER,M,BiH,98.0
2008,NUMBER,M,BiH,102.0
2009,NUMBER,M,BiH,80.0
2010,NUMBER,M,BiH,83.0
2011,NUMBER,M,BiH,57.0
2012,NUMBER,M,BiH,64.0
2013,NUMBER,M,BiH,45.0
2014,NUMBER,M,BiH,45.0
2015,NUMBER,M,BiH,56.0
2016,NUMBER,M,BiH,54.0
2017,NUMBER,M,BiH,51.0
2018,NUMBER,M,BiH,49.0
2019,NUMBER,M,BiH,40.0
2001,NUMBER,F,BiH,95.0
2002,NUMBER,F,BiH,61.0
2003,NUMBER,F,BiH,59.0
2004,NUMBER,F,BiH,74.0
2005,NUMBER,F,BiH,62.0
2006,NUMBER,F,BiH,54.0
2007,NUMBER,F,BiH,76.0
2008,NUMBER,F,BiH,69.0
2009,NUMBER,F,BiH,56.0
2010,NUMBER,F,BiH,60.0
2011,NUMBER,F,BiH,61.0
2012,NUMBER,F,BiH,56.0
2013,NUMBER,F,BiH,57.0
2014,NUMBER,F,BiH,32.0
2015,NUMBER,F,BiH,58.0
2016,NUMBER,F,BiH,56.0
2017,NUMBER,F,BiH,52.0
2018,NUMBER,F,BiH,39.0
2019,NUMBER,F,BiH,42.0
1996,NUMBER,_T,BiH,271.0
1997,NUMBER,_T,BiH,240.0
1998,NUMBER,_T,BiH,202.0
1999,NUMBER,_T,BiH,224.0
2000,NUMBER,_T,BiH,159.0
2001,NUMBER,_T,BiH,193.0
2002,NUMBER,_T,BiH,138.0
2003,NUMBER,_T,BiH,150.0
2004,NUMBER,_T,BiH,168.0
2005,NUMBER,_T,BiH,147.0
2006,NUMBER,_T,BiH,137.0
2007,NUMBER,_T,BiH,174.0
2008,NUMBER,_T,BiH,171.0
2009,NUMBER,_T,BiH,136.0
2010,NUMBER,_T,BiH,143.0
2011,NUMBER,_T,BiH,118.0
2012,NUMBER,_T,BiH,120.0
2013,NUMBER,_T,BiH,102.0
2014,NUMBER,_T,BiH,77.0
2015,NUMBER,_T,BiH,114.0
2016,NUMBER,_T,BiH,110.0
2017,NUMBER,_T,BiH,103.0
2018,NUMBER,_T,BiH,88.0
2019,NUMBER,_T,BiH,82.0
1997,NUMBER,M,FBIH,98.0
1998,NUMBER,M,FBIH,76.0
1999,NUMBER,M,FBIH,88.0
2000,NUMBER,M,FBIH,59.0
2001,NUMBER,M,FBIH,60.0
2002,NUMBER,M,FBIH,60.0
2003,NUMBER,M,FBIH,72.0
2004,NUMBER,M,FBIH,70.0
2005,NUMBER,M,FBIH,69.0
2006,NUMBER,M,FBIH,62.0
2007,NUMBER,M,FBIH,73.0
2008,NUMBER,M,FBIH,79.0
2009,NUMBER,M,FBIH,52.0
2010,NUMBER,M,FBIH,55.0
2011,NUMBER,M,FBIH,39.0
2012,NUMBER,M,FBIH,36.0
2013,NUMBER,M,FBIH,27.0
2014,NUMBER,M,FBIH,32.0
2015,NUMBER,M,FBIH,48.0
2016,NUMBER,M,FBIH,54.0
2017,NUMBER,M,FBIH,41.0
2018,NUMBER,M,FBIH,37.0
2019,NUMBER,M,FBIH,36.0
1997,NUMBER,F,FBIH,69.0
1998,NUMBER,F,FBIH,70.0
1999,NUMBER,F,FBIH,66.0
2000,NUMBER,F,FBIH,48.0
2001,NUMBER,F,FBIH,56.0
2002,NUMBER,F,FBIH,38.0
2003,NUMBER,F,FBIH,37.0
2004,NUMBER,F,FBIH,53.0
2005,NUMBER,F,FBIH,41.0
2006,NUMBER,F,FBIH,43.0
2007,NUMBER,F,FBIH,57.0
2008,NUMBER,F,FBIH,50.0
2009,NUMBER,F,FBIH,38.0
2010,NUMBER,F,FBIH,30.0
2011,NUMBER,F,FBIH,37.0
2012,NUMBER,F,FBIH,32.0
2013,NUMBER,F,FBIH,33.0
2014,NUMBER,F,FBIH,21.0
2015,NUMBER,F,FBIH,49.0
2016,NUMBER,F,FBIH,41.0
2017,NUMBER,F,FBIH,43.0
2018,NUMBER,F,FBIH,31.0
2019,NUMBER,F,FBIH,33.0
1997,NUMBER,_T,FBIH,167.0
1998,NUMBER,_T,FBIH,146.0
1999,NUMBER,_T,FBIH,154.0
2000,NUMBER,_T,FBIH,107.0
2001,NUMBER,_T,FBIH,116.0
2002,NUMBER,_T,FBIH,98.0
2003,NUMBER,_T,FBIH,109.0
2004,NUMBER,_T,FBIH,123.0
2005,NUMBER,_T,FBIH,110.0
2006,NUMBER,_T,FBIH,105.0
2007,NUMBER,_T,FBIH,130.0
2008,NUMBER,_T,FBIH,129.0
2009,NUMBER,_T,FBIH,90.0
2010,NUMBER,_T,FBIH,85.0
2011,NUMBER,_T,FBIH,76.0
2012,NUMBER,_T,FBIH,68.0
2013,NUMBER,_T,FBIH,60.0
2014,NUMBER,_T,FBIH,53.0
2015,NUMBER,_T,FBIH,97.0
