Year,UNIT_MEASURE,Entity,Value
NUMBER,BiH,88.2,88.2
NUMBER,BiH,93.3,93.3
NUMBER,BiH,56.3,56.3
NUMBER,BiH,79.0,79.02670112
NUMBER,BiH,87.7,87.68640057
NUMBER,BiH,88.8,88.77714489
NUMBER,BiH,88.1,88.09425949
NUMBER,BiH,104.7,104.7187469
NUMBER,BiH,112.9,112.9112414
NUMBER,BiH,92.5,92.50952588
NUMBER,BiH,68.4,68.443286
NUMBER,BiH,81.3,81.25172827
NUMBER,BiH,77.2,77.1592019
NUMBER,BiH,77.7,77.72197157
NUMBER,BiH,61.8,61.80307887
NUMBER,BiH,68.0,67.94940144
NUMBER,BiH,85.8,85.76838442
NUMBER,BiH,120.5,120.5366465
NUMBER,BiH,125.8,125.8020291
NUMBER,BiH,148.1,148.0451682
NUMBER,BiH,144.1,144.0755243
NUMBER,BiH,150.5,150.513055
NUMBER,BiH,143.9,143.9397872
NUMBER,BiH,151.3,151.3345686
NUMBER,BiH,155.2,155.2408217
NUMBER,BiH,147.2,147.2140144
NUMBER,FBIH,25.7,25.7282875
NUMBER,FBIH,68.4,68.36436087
NUMBER,FBIH,77.9,77.94383754
NUMBER,FBIH,84.1,84.07420371
NUMBER,FBIH,84.9,84.92874622
NUMBER,FBIH,100.8,100.7994984
NUMBER,FBIH,110.5,110.4818062
NUMBER,FBIH,89.6,89.60464051
NUMBER,FBIH,62.6,62.57758306
NUMBER,FBIH,70.9,70.92511013
NUMBER,FBIH,71.7,71.70304334
NUMBER,FBIH,69.6,69.62452728
NUMBER,FBIH,62.9,62.91501777
NUMBER,FBIH,58.9,58.88807608
NUMBER,FBIH,76.5,76.53218355
NUMBER,FBIH,97.0,96.98943522
NUMBER,FBIH,97.5,97.51243781
NUMBER,FBIH,119.8,119.8488709
NUMBER,FBIH,110.2,110.2487064
NUMBER,FBIH,115.8,115.7878508
NUMBER,FBIH,113.0,112.9788898
NUMBER,FBIH,132.8,132.7535786
NUMBER,FBIH,139.6,139.5758365
NUMBER,FBIH,136.4,136.3932822
NUMBER,RS,95.1,95.07911163
NUMBER,RS,102.1,102.1430559
NUMBER,RS,93.5,93.50057013
NUMBER,RS,92.6,92.64590421
NUMBER,RS,115.6,115.6149882
NUMBER,RS,117.2,117.2404258
NUMBER,RS,109.9,109.9128379
NUMBER,RS,89.2,89.17821644
NUMBER,RS,105.9,105.8737151
NUMBER,RS,76.7,76.67638484
NUMBER,RS,84.0,84.026505
NUMBER,RS,49.5,49.52351195
NUMBER,RS,74.2,74.21301582
NUMBER,RS,89.6,89.64799723
NUMBER,RS,152.7,152.7059635
NUMBER,RS,164.9,164.851671
NUMBER,RS,192.4,192.427291
NUMBER,RS,189.9,189.9364589
NUMBER,RS,193.9,193.8931298
NUMBER,RS,184.3,184.2531008
NUMBER,RS,165.4,165.4350017
NUMBER,RS,161.4,161.4146832
NUMBER,RS,158.0,158.0212985
NUMBER,BD,90.1,90.0621118
NUMBER,BD,122.1,122.1374046
NUMBER,BD,122.8,122.7621483
NUMBER,BD,127.1,127.0553064
NUMBER,BD,135.2,135.2154532
NUMBER,BD,132.0,132.0224719
NUMBER,BD,120.6,120.5882353
NUMBER,BD,207.5,207.4626866
NUMBER,BD,249.2,249.1909385
NUMBER,BD,324.6,324.6329527
NUMBER,BD,335.7,335.7041252
NUMBER,BD,307.1,307.073955
NUMBER,BD,378.6,378.5822021
NUMBER,BD,464.2,464.1791045
NUMBER,BD,442.6,442.5727412
NUMBER,BD,410.9,410.8635097
NUMBER,BD,471.5,471.5189873
NUMBER,BD,312.2,312.1869783
