Year,UNIT_MEASURE,Тип односа зависности,Пол,Value
1971,%,Укупан омјер економске подршке,Оба пола,65.4
1971,%,Укупан омјер економске подршке,M,67.9
1971,%,Укупан омјер економске подршке,Ж,63.0
1981,%,Укупан омјер економске подршке,Оба пола,52.3
1981,%,Укупан омјер економске подршке,M,53.0
1981,%,Укупан омјер економске подршке,Ж,51.6
1991,%,Укупан омјер економске подршке,Оба пола,48.3
1991,%,Укупан омјер економске подршке,M,46.8
1991,%,Укупан омјер економске подршке,Ж,49.7
2013,%,Укупан омјер економске подршке,Оба пола,42.1
2013,%,Укупан омјер економске подршке,M,39.2
2013,%,Укупан омјер економске подршке,Ж,44.9
1971,%,Омјер економске подршке младима,Оба пола,57.0
1971,%,Омјер економске подршке младима,M,60.2
1971,%,Омјер економске подршке младима,Ж,53.9
1981,%,Омјер економске подршке младима,Оба пола,42.5
1981,%,Омјер економске подршке младима,M,44.5
1981,%,Омјер економске подршке младима,Ж,40.6
1991,%,Омјер економске подршке младима,Оба пола,35.6
1991,%,Омјер економске подршке младима,M,36.6
1991,%,Омјер економске подршке младима,Ж,34.6
2013,%,Омјер економске подршке младима,Оба пола,21.9
2013,%,Омјер економске подршке младима,M,22.4
2013,%,Омјер економске подршке младима,Ж,21.3
1971,%,Омјер економске подршке старијим лицима,Оба пола,8.4
1971,%,Омјер економске подршке старијим лицима,M,7.7
1971,%,Омјер економске подршке старијим лицима,Ж,9.1
1981,%,Омјер економске подршке старијим лицима,Оба пола,9.8
1981,%,Омјер економске подршке старијим лицима,M,8.5
1981,%,Омјер економске подршке старијим лицима,Ж,11.0
1991,%,Омјер економске подршке старијим лицима,Оба пола,12.7
1991,%,Омјер економске подршке старијим лицима,M,10.1
1991,%,Омјер економске подршке старијим лицима,Ж,15.2
2013,%,Омјер економске подршке старијим лицима,Оба пола,20.2
2013,%,Омјер економске подршке старијим лицима,M,16.8
2013,%,Омјер економске подршке старијим лицима,Ж,23.6
1971,%,Омјер старијих и младих,Оба пола,14.8
1971,%,Омјер старијих и младих,M,12.8
1971,%,Омјер старијих и младих,Ж,16.9
1981,%,Омјер старијих и младих,Оба пола,23.1
1981,%,Омјер старијих и младих,M,19.2
1981,%,Омјер старијих и младих,Ж,27.2
1991,%,Омјер старијих и младих,Оба пола,35.6
1991,%,Омјер старијих и младих,M,27.7
1991,%,Омјер старијих и младих,Ж,43.8
2013,%,Омјер старијих и младих,Оба пола,92.3
2013,%,Омјер старијих и младих,M,75.0
2013,%,Омјер старијих и младих,Ж,110.6
