Year,UNIT_MEASURE,Ентитет,Value
1989,Број,BiH,15.5
1990,Број,BiH,15.4
1991,Број,BiH,14.9
1996,Број,BiH,12.8
1997,Број,BiH,12.9
1998,Број,BiH,12.3
1999,Број,BiH,11.4
2000,Број,BiH,10.5
2001,Број,BiH,9.9
2002,Број,BiH,9.3
2003,Број,BiH,9.2
2004,Број,BiH,9.1
2005,Број,BiH,9.0
2006,Број,BiH,8.9
2007,Број,BiH,8.8
2008,Број,BiH,8.9
2009,Број,BiH,9.0
2010,Број,BiH,8.7
2011,Број,BiH,8.3
2012,Број,BiH,8.5
2013,Број,BiH,8.7
2014,Број,BiH,8.6
2015,Број,BiH,8.5
2016,Број,BiH,8.6
2017,Број,BiH,8.6
2018,Број,BiH,8.4
2019,Број,BiH,8.1
1996,Број,Федерација БиХ,15.2
1997,Број,Федерација БиХ,14.6
1998,Број,Федерација БиХ,14.1
1999,Број,Федерација БиХ,12.3
2000,Број,Федерација БиХ,11.0
2001,Број,Федерација БиХ,10.4
2002,Број,Федерација БиХ,10.0
2003,Број,Федерација БиХ,10.0
2004,Број,Федерација БиХ,9.6
2005,Број,Федерација БиХ,9.4
2006,Број,Федерација БиХ,9.3
2007,Број,Федерација БиХ,9.3
2008,Број,Федерација БиХ,9.8
2009,Број,Федерација БиХ,9.8
2010,Број,Федерација БиХ,9.6
2011,Број,Федерација БиХ,9.1
2012,Број,Федерација БиХ,9.2
2013,Број,Федерација БиХ,8.6
2014,Број,Федерација БиХ,9.0
2015,Број,Федерација БиХ,8.8
2016,Број,Федерација БиХ,8.9
2017,Број,Федерација БиХ,9.0
2018,Број,Федерација БиХ,8.6
2019,Број,Федерација БиХ,8.2
1996,Број,Република Српска,10.0
1997,Број,Република Српска,11.2
1998,Број,Република Српска,10.9
1999,Број,Република Српска,11.7
2000,Број,Република Српска,11.4
2001,Број,Република Српска,10.9
2002,Број,Република Српска,10.3
2003,Број,Република Српска,8.8
2004,Број,Република Српска,8.9
2005,Број,Република Српска,8.7
2006,Број,Република Српска,8.9
2007,Број,Република Српска,8.6
2008,Број,Република Српска,8.6
2009,Број,Република Српска,9.0
2010,Број,Република Српска,8.6
2011,Број,Република Српска,8.1
2012,Број,Република Српска,8.5
2013,Број,Република Српска,8.1
2014,Број,Република Српска,8.0
2015,Број,Република Српска,8.1
2016,Број,Република Српска,8.2
2017,Број,Република Српска,8.1
2018,Број,Република Српска,8.3
2019,Број,Република Српска,8.1
2004,Број,Брчко Дистрикт БиХ,13.1
2005,Број,Брчко Дистрикт БиХ,13.0
2006,Број,Брчко Дистрикт БиХ,12.1
2007,Број,Брчко Дистрикт БиХ,12.9
2008,Број,Брчко Дистрикт БиХ,12.0
2009,Број,Брчко Дистрикт БиХ,12.3
2010,Број,Брчко Дистрикт БиХ,12.1
2011,Број,Брчко Дистрикт БиХ,12.0
2012,Број,Брчко Дистрикт БиХ,12.7
2013,Број,Брчко Дистрикт БиХ,10.7
2014,Број,Брчко Дистрикт БиХ,11.0
2015,Број,Брчко Дистрикт БиХ,11.2
2016,Број,Брчко Дистрикт БиХ,10.6
2017,Број,Брчко Дистрикт БиХ,10.8
2018,Број,Брчко Дистрикт БиХ,10.4
2019,Број,Брчко Дистрикт БиХ,10.8
