Year,Ентитет,UNIT_MEASURE,Value
1971,BiH,Број,9.4
1981,BiH,Број,8.9
1991,BiH,Број,6.5
1996,BiH,Број,5.8
1997,BiH,Број,6.2
1998,BiH,Број,6.1
1999,BiH,Број,6.0
2000,BiH,Број,5.8
2001,BiH,Број,5.3
2002,BiH,Број,5.3
2003,BiH,Број,5.4
2004,BiH,Број,5.8
2005,BiH,Број,5.6
2006,BiH,Број,5.6
2007,BiH,Број,6.12
2008,BiH,Број,5.77
2009,BiH,Број,5.37
2010,BiH,Број,5.08
2011,BiH,Број,4.99
2012,BiH,Број,4.75
2013,BiH,Број,5.0
2014,BiH,Број,5.3
2015,BiH,Број,5.6
2016,BiH,Број,5.5
2017,BiH,Број,5.7
2018,BiH,Број,5.7
2019,BiH,Број,5.4
1996,Федерација БиХ,Број,6.5
1997,Федерација БиХ,Број,6.8
1998,Федерација БиХ,Број,6.7
1999,Федерација БиХ,Број,6.3
2000,Федерација БиХ,Број,6.0
2001,Федерација БиХ,Број,5.5
2002,Федерација БиХ,Број,5.6
2003,Федерација БиХ,Број,5.6
2004,Федерација БиХ,Број,5.9
2005,Федерација БиХ,Број,5.8
2006,Федерација БиХ,Број,5.6
2007,Федерација БиХ,Број,6.4
2008,Федерација БиХ,Број,6.4
2009,Федерација БиХ,Број,5.9
2010,Федерација БиХ,Број,5.6
2011,Федерација БиХ,Број,5.4
2012,Федерација БиХ,Број,5.2
2013,Федерација БиХ,Број,4.9
2014,Федерација БиХ,Број,5.4
2015,Федерација БиХ,Број,5.9
2016,Федерација БиХ,Број,5.8
2017,Федерација БиХ,Број,5.9
2018,Федерација БиХ,Број,5.9
2019,Федерација БиХ,Број,5.6
1996,Република Српска,Број,5.2
1997,Република Српска,Број,5.8
1998,Република Српска,Број,6.0
1999,Република Српска,Број,6.6
2000,Република Српска,Број,6.4
2001,Република Српска,Број,6.0
2002,Република Српска,Број,6.1
2003,Република Српска,Број,5.7
2004,Република Српска,Број,6.0
2005,Република Српска,Број,5.7
2006,Република Српска,Број,5.8
2007,Република Српска,Број,6.0
2008,Република Српска,Број,5.43
2009,Република Српска,Број,5.2
2010,Република Српска,Број,4.9
2011,Република Српска,Број,4.94
2012,Република Српска,Број,4.54
2013,Република Српска,Број,4.67
2014,Република Српска,Број,4.99
2015,Република Српска,Број,5.07
2016,Република Српска,Број,4.81
2017,Република Српска,Број,5.2
2018,Република Српска,Број,5.2
2019,Република Српска,Број,5.1
2006,Брчко Дистрикт БиХ,Број,8.9
2007,Брчко Дистрикт БиХ,Број,9.41
2008,Брчко Дистрикт БиХ,Број,8.98
2009,Брчко Дистрикт БиХ,Број,8.85
2010,Брчко Дистрикт БиХ,Број,8.2
2011,Брчко Дистрикт БиХ,Број,8.1
2012,Брчко Дистрикт БиХ,Број,9.29
2013,Брчко Дистрикт БиХ,Број,7.5
2014,Брчко Дистрикт БиХ,Број,7.9
2015,Брчко Дистрикт БиХ,Број,8.0
2016,Брчко Дистрикт БиХ,Број,7.8
2017,Брчко Дистрикт БиХ,Број,8.6
2018,Брчко Дистрикт БиХ,Број,8.0
2019,Брчко Дистрикт БиХ,Број,8.5
