Year,UNIT_MEASURE,Ентитет,Value
2005,Број,BiH,351.0
2005,Број,Република Српска,351.0
2006,Број,BiH,331.0
2006,Број,Република Српска,331.0
2007,Број,BiH,918.0
2007,Број,FBiH,521.0
2007,Број,Република Српска,397.0
2008,Број,BiH,852.0
2008,Број,FBiH,425.0
2008,Број,Република Српска,427.0
2009,Број,BiH,963.0
2009,Број,FBiH,560.0
2009,Број,Република Српска,403.0
2010,Број,BiH,876.0
2010,Број,FBiH,465.0
2010,Број,Република Српска,411.0
2011,Број,BiH,852.0
2011,Број,FBiH,419.0
2011,Број,Република Српска,433.0
2012,Број,BiH,488.0
2012,Број,FBiH,488.0
2013,Број,BiH,307.0
2013,Број,FBiH,307.0
2014,Број,BiH,208.0
2014,Број,FBiH,208.0
2015,Број,BiH,538.0
2015,Број,FBiH,538.0
2016,Број,BiH,1023.0
2016,Број,FBiH,574.0
2016,Број,Република Српска,449.0
2017,Број,BiH,556.0
2017,Број,FBiH,556.0
