Year,UNIT_MEASURE,Пол,Године,Value
1971,Број,Оба пола,0-4,405505
1971,Број,Оба пола,0-14,1290369
1971,Број,Оба пола,5-9,442665
1971,Број,Оба пола,10-14,442199
1971,Број,Оба пола,15-19,411387
1971,Број,Оба пола,15-29,956431
1971,Број,Оба пола,15-49,1935980
1971,Број,Оба пола,15-64,2265176
1971,Број,Оба пола,20-24,319317
1971,Број,Оба пола,25-29,225727
1971,Број,Оба пола,30-34,289810
1971,Број,Оба пола,35-39,280482
1971,Број,Оба пола,40-44,243016
1971,Број,Оба пола,45-49,166241
1971,Број,Оба пола,50-54,101840
1971,Број,Оба пола,55-59,114629
1971,Број,Оба пола,60-64,112727
1971,Број,Оба пола,65-69,79808
1971,Број,Оба пола,65+,190566
1971,Број,Оба пола,75+,57209
1971,Број,Оба пола,85+,7784
1971,Број,Оба пола,70-74,53549
1971,Број,Оба пола,75-79,23050
1971,Број,Оба пола,80-84,12152
1971,Број,Оба пола,85-89,5112
1971,Број,Оба пола,90-94,1938
1971,Број,Оба пола,95-99,672
1971,Број,Оба пола,100-104,62
1971,Број,Оба пола,100+,62
1971,Број,Оба пола,105-109,0
1971,Број,Оба пола,110-114,0
1971,Број,Оба пола,115-120,0
1971,Број,Оба пола,Unknown,14223
1971,Број,Оба пола,Total,3746111
