Year,Пол,UNIT_MEASURE,Value
1971,Оба пола,Број на 1000 живорођених,22.0
1981,Оба пола,Број на 1000 живорођених,17.2
1991,Оба пола,Број на 1000 живорођених,14.9
1996,Оба пола,Број на 1000 живорођених,14.0
1997,Оба пола,Број на 1000 живорођених,12.4
1998,Оба пола,Број на 1000 живорођених,11.0
1999,Оба пола,Број на 1000 живорођених,10.1
2000,Оба пола,Број на 1000 живорођених,9.7
2001,Оба пола,Број на 1000 живорођених,7.6
2002,Оба пола,Број на 1000 живорођених,9.4
2003,Оба пола,Број на 1000 живорођених,7.6
2004,Оба пола,Број на 1000 живорођених,7.2
2005,Оба пола,Број на 1000 живорођених,6.7
2006,Оба пола,Број на 1000 живорођених,7.5
2007,Оба пола,Број на 1000 живорођених,6.8
2008,Оба пола,Број на 1000 живорођених,6.9
2009,Оба пола,Број на 1000 живорођених,6.5
2010,Оба пола,Број на 1000 живорођених,6.4
2011,Оба пола,Број на 1000 живорођених,5.8
2012,Оба пола,Број на 1000 живорођених,5.4
2013,Оба пола,Број на 1000 живорођених,5.9
2014,Оба пола,Број на 1000 живорођених,5.2
2015,Оба пола,Број на 1000 живорођених,6.1
2016,Оба пола,Број на 1000 живорођених,5.9
2017,Оба пола,Број на 1000 живорођених,6.5
2018,Оба пола,Број на 1000 живорођених,6.2
2019,Оба пола,Број на 1000 живорођених,6.7
1996,M,Број на 1000 живорођених,14.8
1997,M,Број на 1000 живорођених,14.6
1998,M,Број на 1000 живорођених,12.9
1999,M,Број на 1000 живорођених,11.2
2000,M,Број на 1000 живорођених,10.8
2001,M,Број на 1000 живорођених,8.2
2002,M,Број на 1000 живорођених,10.4
2003,M,Број на 1000 живорођених,8.4
2004,M,Број на 1000 живорођених,8.3
2005,M,Број на 1000 живорођених,7.5
2006,M,Број на 1000 живорођених,9.0
2007,M,Број на 1000 живорођених,7.5
2008,M,Број на 1000 живорођених,7.4
2009,M,Број на 1000 живорођених,6.4
2010,M,Број на 1000 живорођених,7.2
2011,M,Број на 1000 живорођених,6.7
2012,M,Број на 1000 живорођених,6.6
2013,M,Број на 1000 живорођених,6.9
2014,M,Број на 1000 живорођених,4.7
2015,M,Број на 1000 живорођених,6.1
2016,M,Број на 1000 живорођених,7.1
2017,M,Број на 1000 живорођених,6.7
2018,M,Број на 1000 живорођених,6.0
2019,M,Број на 1000 живорођених,6.9
1996,Ж,Број на 1000 живорођених,13.2
1997,Ж,Број на 1000 живорођених,10.0
1998,Ж,Број на 1000 живорођених,8.9
1999,Ж,Број на 1000 живорођених,9.1
2000,Ж,Број на 1000 живорођених,8.5
2001,Ж,Број на 1000 живорођених,7.0
2002,Ж,Број на 1000 живорођених,8.3
2003,Ж,Број на 1000 живорођених,6.7
2004,Ж,Број на 1000 живорођених,6.0
2005,Ж,Број на 1000 живорођених,5.9
2006,Ж,Број на 1000 живорођених,5.9
2007,Ж,Број на 1000 живорођених,6.1
2008,Ж,Број на 1000 живорођених,6.3
2009,Ж,Број на 1000 живорођених,6.5
2010,Ж,Број на 1000 живорођених,5.6
2011,Ж,Број на 1000 живорођених,4.8
2012,Ж,Број на 1000 живорођених,4.2
2013,Ж,Број на 1000 живорођених,4.8
2014,Ж,Број на 1000 живорођених,5.6
2015,Ж,Број на 1000 живорођених,6.1
2016,Ж,Број на 1000 живорођених,4.6
2017,Ж,Број на 1000 живорођених,6.3
2018,Ж,Број на 1000 живорођених,6.5
2019,Ж,Број на 1000 живорођених,6.5
