Year,Value,UNIT_MEASURE
1996,1.647,Number of children per woman 15-49
1997,1.685,Number of children per woman 15-49
1998,1.558,Number of children per woman 15-49
1999,1.362,Number of children per woman 15-49
2000,1.279,Number of children per woman 15-49
2001,1.227,Number of children per woman 15-49
2002,1.228,Number of children per woman 15-49
2003,1.216,Number of children per woman 15-49
2004,1.218,Number of children per woman 15-49
2005,1.2,Number of children per woman 15-49
2006,1.177,Number of children per woman 15-49
2007,1.259,Number of children per woman 15-49
2008,1.285,Number of children per woman 15-49
2009,1.303,Number of children per woman 15-49
2010,1.267,Number of children per woman 15-49
2011,1.206,Number of children per woman 15-49
2012,1.349,Number of children per woman 15-49
2013,1.276,Number of children per woman 15-49
2014,1.259,Number of children per woman 15-49
2015,1.242,Number of children per woman 15-49
2016,1.259,Number of children per woman 15-49
2017,1.26,Number of children per woman 15-49
2018,1.253,Number of children per woman 15-49
2019,1.204,Number of children per woman 15-49
