Year,UNIT_MEASURE,Године,Пол,Value
2018,Број,Total,Оба пола,3492023.0
2018,Број,0-4,Оба пола,148947.0
2018,Број,5-9,Оба пола,171135.0
2018,Број,10-14,Оба пола,177098.0
2018,Број,15-19,Оба пола,190602.0
2018,Број,20-24,Оба пола,242893.0
2018,Број,25-29,Оба пола,225428.0
2018,Број,30-34,Оба пола,251233.0
2018,Број,35-39,Оба пола,252481.0
2018,Број,40-44,Оба пола,248144.0
2018,Број,45-49,Оба пола,239073.0
2018,Број,50-54,Оба пола,255492.0
2018,Број,55-59,Оба пола,266164.0
2018,Број,60-64,Оба пола,248062.0
2018,Број,65-69,Оба пола,206798.0
2018,Број,70-74,Оба пола,137662.0
2018,Број,75-79,Оба пола,110151.0
2018,Број,80-84,Оба пола,79091.0
2018,Број,85-89,Оба пола,32495.0
2018,Број,90-94,Оба пола,7766.0
2018,Број,95-99,Оба пола,1075.0
2018,Број,100-104,Оба пола,221.0
2018,Број,105-109,Оба пола,12.0
2018,Број,110-114,Оба пола,0.0
2018,Број,115-119,Оба пола,0.0
2018,Број,120+,Оба пола,0.0
2018,_%,Total,Оба пола,100.0
2018,_%,0-4,Оба пола,4.27
2018,_%,5-9,Оба пола,4.9
2018,_%,10-14,Оба пола,5.07
2018,_%,15-19,Оба пола,5.46
2018,_%,20-24,Оба пола,6.96
2018,_%,25-29,Оба пола,6.46
2018,_%,30-34,Оба пола,7.19
2018,_%,35-39,Оба пола,7.23
2018,_%,40-44,Оба пола,7.11
2018,_%,45-49,Оба пола,6.85
2018,_%,50-54,Оба пола,7.32
2018,_%,55-59,Оба пола,7.62
2018,_%,60-64,Оба пола,7.1
2018,_%,65-69,Оба пола,5.92
2018,_%,70-74,Оба пола,3.94
2018,_%,75-79,Оба пола,3.15
2018,_%,80-84,Оба пола,2.26
2018,_%,85-89,Оба пола,0.93
2018,_%,90-94,Оба пола,0.22
2018,_%,95-99,Оба пола,0.03
2018,_%,100-104,Оба пола,0.01
2018,_%,105-109,Оба пола,0.0
2018,_%,110-114,Оба пола,0.0
2018,_%,115-119,Оба пола,0.0
2018,_%,120+,Оба пола,0.0
2018,_%,0-14,Оба пола,497180.0
2018,_%,0-18,Оба пола,647325.0
2018,_%,15-29,Оба пола,658923.0
2018,_%,15-49,Оба пола,1649854.0
2018,_%,15-64,Оба пола,2419572.0
2018,_%,65+,Оба пола,575271.0
2018,_%,75+,Оба пола,230811.0
2018,_%,85+,Оба пола,41569.0
2018,_%,100+,Оба пола,233.0
2018,_%,0-14,Оба пола,14.24
2018,_%,0-18,Оба пола,18.54
2018,_%,15-29,Оба пола,18.87
2018,_%,15-49,Оба пола,47.25
2018,_%,15-64,Оба пола,69.29
2018,_%,65+,Оба пола,16.47
2018,_%,75+,Оба пола,6.61
2018,_%,85+,Оба пола,1.19
2018,_%,100+,Оба пола,0.01
2020,Број,Total,Оба пола,3430316.35
2020,Број,0-4,Оба пола,146421.55
2020,Број,5-9,Оба пола,157739.47
2020,Број,10-14,Оба пола,177407.96
2020,Број,15-19,Оба пола,178593.11
2020,Број,20-24,Оба пола,213398.66
