Year,UNIT_MEASURE,Spol,Godine,Value
1971,Broj,Oba spola ili bez podjele po spolu,0,78188
1971,Broj,Oba spola ili bez podjele po spolu,1,78436
1971,Broj,Oba spola ili bez podjele po spolu,2,79185
1971,Broj,Oba spola ili bez podjele po spolu,3,83244
1971,Broj,Oba spola ili bez podjele po spolu,4,86452
1971,Broj,Oba spola ili bez podjele po spolu,5,87769
1971,Broj,Oba spola ili bez podjele po spolu,6,87799
1971,Broj,Oba spola ili bez podjele po spolu,7,88629
1971,Broj,Oba spola ili bez podjele po spolu,8,88698
1971,Broj,Oba spola ili bez podjele po spolu,9,89770
1971,Broj,Oba spola ili bez podjele po spolu,10,91769
1971,Broj,Oba spola ili bez podjele po spolu,11,88438
1971,Broj,Oba spola ili bez podjele po spolu,12,91254
1971,Broj,Oba spola ili bez podjele po spolu,13,84816
1971,Broj,Oba spola ili bez podjele po spolu,14,85922
1971,Broj,Oba spola ili bez podjele po spolu,15,85979
1971,Broj,Oba spola ili bez podjele po spolu,16,90521
1971,Broj,Oba spola ili bez podjele po spolu,17,81829
1971,Broj,Oba spola ili bez podjele po spolu,18,86722
1971,Broj,Oba spola ili bez podjele po spolu,19,66336
1971,Broj,Oba spola ili bez podjele po spolu,20,72810
1971,Broj,Oba spola ili bez podjele po spolu,21,69228
1971,Broj,Oba spola ili bez podjele po spolu,22,61911
1971,Broj,Oba spola ili bez podjele po spolu,23,57263
1971,Broj,Oba spola ili bez podjele po spolu,24,58105
1971,Broj,Oba spola ili bez podjele po spolu,25,43515
1971,Broj,Oba spola ili bez podjele po spolu,26,42568
1971,Broj,Oba spola ili bez podjele po spolu,27,42705
1971,Broj,Oba spola ili bez podjele po spolu,28,45326
1971,Broj,Oba spola ili bez podjele po spolu,29,51613
1971,Broj,Oba spola ili bez podjele po spolu,30,55927
1971,Broj,Oba spola ili bez podjele po spolu,31,58757
1971,Broj,Oba spola ili bez podjele po spolu,32,56737
1971,Broj,Oba spola ili bez podjele po spolu,33,59159
1971,Broj,Oba spola ili bez podjele po spolu,34,59230
1971,Broj,Oba spola ili bez podjele po spolu,35,59449
1971,Broj,Oba spola ili bez podjele po spolu,36,58439
1971,Broj,Oba spola ili bez podjele po spolu,37,57138
1971,Broj,Oba spola ili bez podjele po spolu,38,54962
1971,Broj,Oba spola ili bez podjele po spolu,39,50494
1971,Broj,Oba spola ili bez podjele po spolu,40,53335
1971,Broj,Oba spola ili bez podjele po spolu,41,51482
1971,Broj,Oba spola ili bez podjele po spolu,42,51670
1971,Broj,Oba spola ili bez podjele po spolu,43,45131
1971,Broj,Oba spola ili bez podjele po spolu,44,41398
1971,Broj,Oba spola ili bez podjele po spolu,45,38430
1971,Broj,Oba spola ili bez podjele po spolu,46,34889
1971,Broj,Oba spola ili bez podjele po spolu,47,32616
1971,Broj,Oba spola ili bez podjele po spolu,48,32560
1971,Broj,Oba spola ili bez podjele po spolu,49,27746
1971,Broj,Oba spola ili bez podjele po spolu,50,31304
1971,Broj,Oba spola ili bez podjele po spolu,51,27640
1971,Broj,Oba spola ili bez podjele po spolu,52,16290
1971,Broj,Oba spola ili bez podjele po spolu,53,13739
1971,Broj,Oba spola ili bez podjele po spolu,54,12867
1971,Broj,Oba spola ili bez podjele po spolu,55,17033
1971,Broj,Oba spola ili bez podjele po spolu,56,26007
1971,Broj,Oba spola ili bez podjele po spolu,57,23600
1971,Broj,Oba spola ili bez podjele po spolu,58,25741
1971,Broj,Oba spola ili bez podjele po spolu,59,22248
1971,Broj,Oba spola ili bez podjele po spolu,60,27390
1971,Broj,Oba spola ili bez podjele po spolu,61,23213
1971,Broj,Oba spola ili bez podjele po spolu,62,20179
1971,Broj,Oba spola ili bez podjele po spolu,63,21543
1971,Broj,Oba spola ili bez podjele po spolu,64,20402
1971,Broj,Oba spola ili bez podjele po spolu,65,19860
1971,Broj,Oba spola ili bez podjele po spolu,66,17912
1971,Broj,Oba spola ili bez podjele po spolu,67,15368
1971,Broj,Oba spola ili bez podjele po spolu,68,14263
1971,Broj,Oba spola ili bez podjele po spolu,69,12405
1971,Broj,Oba spola ili bez podjele po spolu,70,20948
1971,Broj,Oba spola ili bez podjele po spolu,71,11331
1971,Broj,Oba spola ili bez podjele po spolu,72,7947
1971,Broj,Oba spola ili bez podjele po spolu,73,6982
1971,Broj,Oba spola ili bez podjele po spolu,74,6341
1971,Broj,Oba spola ili bez podjele po spolu,75,6359
1971,Broj,Oba spola ili bez podjele po spolu,76,5014
1971,Broj,Oba spola ili bez podjele po spolu,77,4151
1971,Broj,Oba spola ili bez podjele po spolu,78,4413
1971,Broj,Oba spola ili bez podjele po spolu,79,3113
