Year,UNIT_MEASURE,QUANTITY,Entitet,Value
1997,Broj,total_millions,BiH,"6,752"
1998,Broj,total_millions,BiH,"7,650"
1999,Broj,total_millions,BiH,"8,604"
2000,Broj,total_millions,BiH,"9,611"
2001,Broj,total_millions,BiH,"10,480"
2002,Broj,total_millions,BiH,"11,651"
2003,Broj,total_millions,BiH,"12,303"
2004,Broj,total_millions,BiH,"13,497"
2005,Broj,total_millions,BiH,"17,649"
2006,Broj,total_millions,BiH,"20,056"
2007,Broj,total_millions,BiH,"22,548"
2008,Broj,total_millions,BiH,"25,519"
2009,Broj,total_millions,BiH,"24,799"
2010,Broj,total_millions,BiH,"25,365"
2011,Broj,total_millions,BiH,"26,231"
2012,Broj,total_millions,BiH,"26,223"
2013,Broj,total_millions,BiH,"26,779"
2014,Broj,total_millions,BiH,"27,358"
2015,Broj,total_millions,BiH,"28,589"
2016,Broj,total_millions,BiH,"29,905"
2017,Broj,total_millions,BiH,"31,377"
2018,Broj,total_millions,BiH,"33,445"
2019,Broj,total_millions,BiH,"35,295"
1997,Broj,total_millions,Federacija BiH,4943.00
1998,Broj,total_millions,Federacija BiH,5606.00
1999,Broj,total_millions,Federacija BiH,6142.00
2000,Broj,total_millions,Federacija BiH,6723.00
2001,Broj,total_millions,Federacija BiH,7274.00
2002,Broj,total_millions,Federacija BiH,7943.00
2003,Broj,total_millions,Federacija BiH,8268.00
2004,Broj,total_millions,Federacija BiH,8897.00
2005,Broj,total_millions,Federacija BiH,11506.00
2006,Broj,total_millions,Federacija BiH,13036.00
2007,Broj,total_millions,Federacija BiH,14629.00
2008,Broj,total_millions,Federacija BiH,16426.00
2009,Broj,total_millions,Federacija BiH,15987.00
2010,Broj,total_millions,Federacija BiH,16461.00
2011,Broj,total_millions,Federacija BiH,16927.00
2012,Broj,total_millions,Federacija BiH,17013.00
2013,Broj,total_millions,Federacija BiH,17379.00
2014,Broj,total_millions,Federacija BiH,17827.00
2015,Broj,total_millions,Federacija BiH,18688.00
2016,Broj,total_millions,Federacija BiH,19540.00
2017,Broj,total_millions,Federacija BiH,20540.00
2018,Broj,total_millions,Federacija BiH,21984.00
2019,Broj,total_millions,Federacija BiH,23179.00
1997,Broj,total_millions,Republika Srpska,1809.00
1998,Broj,total_millions,Republika Srpska,2044.00
1999,Broj,total_millions,Republika Srpska,2462.00
2000,Broj,total_millions,Republika Srpska,2734.00
2001,Broj,total_millions,Republika Srpska,2993.00
2002,Broj,total_millions,Republika Srpska,3417.00
2003,Broj,total_millions,Republika Srpska,3717.00
2004,Broj,total_millions,Republika Srpska,4226.00
2005,Broj,total_millions,Republika Srpska,5695.00
2006,Broj,total_millions,Republika Srpska,6550.00
2007,Broj,total_millions,Republika Srpska,7366.00
2008,Broj,total_millions,Republika Srpska,8507.00
2009,Broj,total_millions,Republika Srpska,8257.00
2010,Broj,total_millions,Republika Srpska,8336.00
2011,Broj,total_millions,Republika Srpska,8703.00
2012,Broj,total_millions,Republika Srpska,8615.00
2013,Broj,total_millions,Republika Srpska,8793.00
2014,Broj,total_millions,Republika Srpska,8887.00
2015,Broj,total_millions,Republika Srpska,9205.00
2016,Broj,total_millions,Republika Srpska,9631.00
2017,Broj,total_millions,Republika Srpska,10077.00
2018,Broj,total_millions,Republika Srpska,10680.00
2019,Broj,total_millions,Republika Srpska,11251.00
2000,Broj,total_millions,Brčko Distrikt BiH,154.00
2001,Broj,total_millions,Brčko Distrikt BiH,213.00
2002,Broj,total_millions,Brčko Distrikt BiH,291.00
2003,Broj,total_millions,Brčko Distrikt BiH,318.00
2004,Broj,total_millions,Brčko Distrikt BiH,374.00
2005,Broj,total_millions,Brčko Distrikt BiH,448.00
2006,Broj,total_millions,Brčko Distrikt BiH,470.00
2007,Broj,total_millions,Brčko Distrikt BiH,553.00
2008,Broj,total_millions,Brčko Distrikt BiH,586.00
2009,Broj,total_millions,Brčko Distrikt BiH,555.00
2010,Broj,total_millions,Brčko Distrikt BiH,568.00
2011,Broj,total_millions,Brčko Distrikt BiH,601.00
2012,Broj,total_millions,Brčko Distrikt BiH,595.00
2013,Broj,total_millions,Brčko Distrikt BiH,607.00
2014,Broj,total_millions,Brčko Distrikt BiH,644.00
2015,Broj,total_millions,Brčko Distrikt BiH,696.00
2016,Broj,total_millions,Brčko Distrikt BiH,734.00
2017,Broj,total_millions,Brčko Distrikt BiH,760.00
2018,Broj,total_millions,Brčko Distrikt BiH,781.00
2019,Broj,total_millions,Brčko Distrikt BiH,865.00
1997,_%,real_gdp_growth,BiH,0.34
1998,_%,real_gdp_growth,BiH,0.16
1999,_%,real_gdp_growth,BiH,0.10
2000,_%,real_gdp_growth,BiH,0.06
2001,_%,real_gdp_growth,BiH,0.04
2002,_%,real_gdp_growth,BiH,0.05
2003,_%,real_gdp_growth,BiH,0.04
2004,_%,real_gdp_growth,BiH,0.06
2005,_%,real_gdp_growth,BiH,0.09
2006,_%,real_gdp_growth,BiH,0.05
