Year,MICS_INDICATORS,UNIT_MEASURE,MICS_NUMBER,Entitet,Value
2000,contraceptive_prevalence_rate_(total),_%,MICS 1,BiH,48.0
2000,skilled_attendant_at_delivery,_%,MICS 1,BiH,99.8
2000,contraceptive_prevalence_rate_(total),_%,MICS 1,FBiH,48.7
2000,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 1,FBiH,32.9
2000,contraceptive_prevalence_rate_(modern_methods),_%,MICS 1,FBiH,15.7
2000,skilled_attendant_at_delivery,_%,MICS 1,FBiH,100.0
2000,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 1,FBiH,75.1
2000,contraceptive_prevalence_rate_(total),_%,MICS 1,Republika Srpska,45.1
2000,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 1,Republika Srpska,29.4
2000,contraceptive_prevalence_rate_(modern_methods),_%,MICS 1,Republika Srpska,15.7
2000,skilled_attendant_at_delivery,_%,MICS 1,Republika Srpska,98.6
2000,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 1,Republika Srpska,77.4
2006,contraceptive_prevalence_rate_(total),_%,MICS 3,BiH,35.7
2006,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 3,BiH,24.5
2006,contraceptive_prevalence_rate_(modern_methods),_%,MICS 3,BiH,11.2
2006,unmet_need_for_family_planning,_%,MICS 3,BiH,23.3
2006,satisfied_demand_for_family_planning,_%,MICS 3,BiH,60.5
2006,skilled_attendant_at_delivery,_%,MICS 3,BiH,99.6
2006,institutional_deliveries,_%,MICS 3,BiH,99.7
2006,marriage_before_age_15_(women_15-49),_%,MICS 3,BiH,1.0
2006,marriage_before_age_18_(women_20-49),_%,MICS 3,BiH,10.1
2006,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 3,BiH,7.0
2006,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 3,BiH,4.8
2006,comprehensive_knowledge_about_hiv_prevention_(women_15-49),_%,MICS 3,BiH,34.2
2006,accepting_attitudes_towards_people_living_with_hiv_(women_15-49),_%,MICS 3,BiH,35.8
2006,sex_with_non-regular_partners_(women_15-24),_%,MICS 3,BiH,25.7
2006,condom_use_with_non-regular_partners_(women_15-24),_%,MICS 3,BiH,71.0
2006,contraceptive_prevalence_rate_(total),_%,MICS 3,FBiH,33.6
2006,contraceptive_prevalence_rate_(traditional_methods),_%,MICS 3,FBiH,21.5
2006,contraceptive_prevalence_rate_(modern_methods),_%,MICS 3,FBiH,12.1
2006,unmet_need_for_family_planning,_%,MICS 3,FBiH,23.3
2006,satisfied_demand_for_family_planning,_%,MICS 3,FBiH,59.0
2006,skilled_attendant_at_delivery,_%,MICS 3,FBiH,99.5
2006,institutional_deliveries,_%,MICS 3,FBiH,99.6
2006,marriage_before_age_15_(women_15-49),_%,MICS 3,FBiH,1.0
2006,marriage_before_age_18_(women_20-49),_%,MICS 3,FBiH,9.8
2006,young_women_aged_15-19_years_currently_married_or_in_union,_%,MICS 3,FBiH,6.0
2006,husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),_%,MICS 3,FBiH,4.9
